step,ppo_actor/update/new_logp/avg,ppo_actor/no_eos_ratios/avg,ppo_actor/update/compute_logp/kl_div_direct/avg,timeperf/train_step,ppo_actor/update/old_logp/avg,ppo_actor/prompt_len/avg,ppo_actor/update/compute_logp/kl_div_dual/avg,ppo_actor/update/compute_logp/kl_div_taylor/avg,ppo_actor/advantages/avg,ppo_actor/seq_len/avg,ppo_actor/task_reward/avg,ppo_actor/update/compute_logp/prox_logp_gt/avg,ppo_actor/correct_seq_len/avg,ppo_actor/update/actor_loss/avg,ppo_actor/update/dual_clip_ratio/avg,ppo_actor/final_reward/avg,ppo_actor/update/approx_kl/avg,ppo_actor/update/entropy/avg,ppo_actor/update/vocab_max_logits/avg,ppo_actor/incorrect_seq_len/avg,ppo_actor/update/behave_approx_kl/avg,ppo_actor/update/vocab_min_logits/avg,ppo_actor/update/importance_weight/avg,ppo_actor/kl_rewards/avg,ppo_actor/update/behave_imp_weight/avg,ppo_actor/update/clip_ratio/avg,rollout/reward,eval-rollout/reward
19,-0.070935,0.125,0.001281,3.1131,-0.069654,173.56,0.0011911,0.0012403,1.0579e-08,1165.2,0.48438,-0.070935,1125.9,-3.4635e-05,0.0,2.8174e-12,0.0,0.079078,44.68,1202.2,-0.001281,-25.097,1.0,0.0,0.99991,0.0,0.39855,
20,-0.084703,0.125,0.0012851,3.2218,-0.083417,222.62,0.001364,0.0014055,2.9688e-09,1206.4,0.35156,-0.084703,1105.2,-4.34e-05,0.0,-1.8934e-12,0.0,0.094993,43.689,1261.3,-0.0012851,-24.292,1.0,0.0,1.0001,0.0,0.24427,
21,-0.073786,0.125,0.001423,3.0858,-0.072363,172.06,0.0011888,0.0012399,-2.6853e-08,1144.3,0.26562,-0.073786,986.09,9.9978e-05,0.0,-1.9159e-12,0.0,0.082611,44.7,1201.5,-0.001423,-24.721,1.0,0.0,0.99977,0.0,0.26829,
22,-0.078323,0.125,0.0013259,3.1086,-0.076997,180.38,0.0012859,0.0013232,-1.7388e-08,1140.2,0.25781,-0.078323,1023.6,-7.9765e-05,0.0,9.7033e-13,0.0,0.087141,44.142,1180.7,-0.0013259,-24.496,1.0,0.0,0.99996,0.0,0.40179,
23,-0.067025,0.085938,0.0011795,3.1668,-0.065846,197.94,0.0011346,0.0011774,-5.0039e-09,1172.1,0.47656,-0.067025,1119.6,7.7303e-05,0.0,-3.3461e-12,0.0,0.074812,44.329,1219.9,-0.0011795,-24.478,1.0,0.0,0.99996,0.0,0.1938,
24,-0.089655,0.125,0.0018128,3.2111,-0.087843,228.56,0.0014159,0.0015139,0.0,1251.5,0.1875,-0.089655,1194.1,0.0002248,0.0,0.0,0.0,0.10061,43.065,1264.7,-0.0018128,-24.049,1.0,0.0,0.9996,0.0,0.26563,
25,-0.085832,0.125,0.0014699,3.3309,-0.084362,239.5,0.0013206,0.0013425,-1.3646e-09,1257.8,0.26562,-0.085832,1180.9,-0.00029606,0.0,1.0061e-11,0.0,0.097914,43.731,1285.6,-0.0014699,-24.518,1.0,0.0,0.99985,0.0,0.38346,
26,-0.068806,0.125,0.0015011,3.1484,-0.067305,167.06,0.0012564,0.0017298,-4.5871e-09,1177.4,0.35938,-0.068806,1168.0,2.9189e-05,0.0,4.1483e-12,0.0,0.07705,45.242,1182.6,-0.0015011,-24.746,1.0,0.0,0.99976,0.0,0.39583,
27,-0.069489,0.125,0.0013861,3.2285,-0.068103,211.69,0.0010996,0.0011415,-2.3631e-09,1220.6,0.32812,-0.069489,1169.0,-7.469e-05,0.0,-9.2309e-12,0.0,0.077021,45.016,1245.8,-0.0013861,-24.561,1.0,0.0,0.99971,0.0,0.2459,
28,-0.073441,0.125,0.0013928,3.7271,-0.072049,191.31,0.0011784,0.0012188,-5.8088e-09,1135.3,0.27344,-0.073441,890.74,9.109e-06,0.0,-4.9328e-12,0.0,0.081691,44.142,1227.4,-0.0013928,-24.768,1.0,0.0,0.99979,0.0,0.25,
