step,sft/loss/avg,sft/ppl/avg,timeperf/train_step,sft/vocab_min_logits/avg,sft/vocab_max_logits/avg
122,0.11234,1.1169,0.13498,-24.105,43.266
123,0.11096,1.1129,0.14021,-24.241,43.679
124,0.12453,1.1242,0.1446,-24.361,44.301
125,0.14177,1.1508,0.14866,-23.933,43.444
126,0.13279,1.1431,0.14412,-24.287,43.749
127,0.13076,1.1308,0.14363,-23.324,42.909
128,0.13001,1.1468,0.13759,-23.721,43.795
129,0.11708,1.1229,0.1356,-23.989,43.619
130,0.12032,1.1282,0.1442,-23.835,43.727
131,0.15493,1.1685,0.13813,-23.646,42.847
132,0.13478,1.1404,0.1473,-24.07,43.703
133,0.15429,1.1772,0.14596,-23.688,43.012
134,0.13275,1.1434,0.14435,-23.975,44.053
135,0.1444,1.1563,0.14971,-23.759,43.942
136,0.11117,1.1124,0.13739,-24.038,43.63
137,0.11764,1.1289,0.13608,-23.586,43.817
138,0.11173,1.1075,0.14666,-23.781,43.579
139,0.1517,1.1641,0.14686,-23.706,43.272
140,0.09985,1.1049,0.12956,-23.953,42.781
141,0.14216,1.1462,0.15327,-23.68,43.639
142,0.1171,1.115,0.1337,-23.682,43.756
143,0.11175,1.1077,0.14347,-24.484,43.992
144,0.13533,1.1214,0.13554,-23.721,42.779
145,0.1394,1.138,0.14541,-23.764,43.263
146,0.1273,1.1339,0.15584,-24.118,43.943
147,0.13556,1.1419,0.14523,-23.479,43.239
148,0.14597,1.1524,0.15459,-23.603,43.76
149,0.11916,1.1145,0.14003,-23.965,43.893
150,0.11714,1.1159,0.13029,-23.641,43.015
151,0.13961,1.1395,0.15374,-23.348,43.039
152,0.10372,1.1155,0.14244,-23.603,43.145
153,0.13042,1.1276,0.14726,-23.555,43.654
154,0.096245,1.0997,0.14031,-24.234,43.757
155,0.14155,1.1449,0.15391,-23.571,42.618
156,0.1235,1.1259,0.14265,-23.244,42.902
157,0.13282,1.1472,0.14072,-23.467,43.301
158,0.13218,1.1316,0.14687,-23.564,43.179
159,0.13464,1.1398,0.14909,-22.777,42.081
160,0.16194,1.1803,0.14938,-23.612,43.338
161,0.10654,1.1178,0.13207,-23.46,42.65
162,0.12763,1.1264,0.14936,-24.17,43.778
163,0.13679,1.1484,0.1484,-23.635,43.419
164,0.11852,1.1281,0.14478,-23.707,43.139
165,0.14452,1.1417,0.14113,-23.693,42.848
166,0.12213,1.1283,0.13698,-24.041,43.143
167,0.11732,1.1143,0.12949,-23.596,43.577
168,0.13686,1.1417,0.14267,-23.528,43.427
169,0.10622,1.1198,0.14229,-23.537,43.359
170,0.12957,1.1226,0.1396,-23.209,42.266
171,0.11567,1.1208,0.15246,-23.906,43.466
172,0.11404,1.1151,0.80714,-23.474,43.501
173,0.14349,1.1455,0.14685,-23.605,43.353
174,0.12677,1.1198,0.1343,-23.0,42.904
175,0.14048,1.1377,0.14888,-23.323,42.832
176,0.11754,1.1255,0.14623,-23.37,43.208
177,0.1374,1.1445,0.21081,-23.473,43.039
178,0.10254,1.1065,0.15058,-23.543,43.617
179,0.14588,1.1446,0.14834,-23.281,42.307
180,0.11252,1.1085,0.1361,-23.602,43.253
181,0.14463,1.1418,0.13932,-23.237,42.726
182,0.12468,1.1266,0.1441,-23.507,43.036
183,0.13923,1.1408,0.66639,-22.922,42.546
184,0.11571,1.1116,0.1463,-23.846,43.02
185,0.13814,1.1339,0.14393,-23.53,43.337
186,0.12419,1.1182,0.13982,-23.377,43.419
187,0.13742,1.134,0.1432,-23.596,42.823
188,0.12421,1.1227,0.14419,-23.254,42.974
189,0.13128,1.1328,0.14774,-23.791,43.281
190,0.13602,1.1344,0.79387,-24.062,42.98
191,0.11773,1.118,0.14359,-23.078,43.04
192,0.12918,1.1258,0.14241,-23.422,43.349
193,0.12073,1.1219,0.14391,-23.428,42.901
194,0.13527,1.1298,0.13462,-23.39,42.298
195,0.13244,1.1321,0.14999,-23.251,43.621
196,0.10866,1.1104,0.1487,-23.662,43.842
197,0.12821,1.1278,0.1438,-23.617,43.97
198,0.10189,1.1042,0.14449,-24.005,43.431
199,0.14476,1.1428,0.15487,-23.492,43.773
200,0.12688,1.1291,0.13682,-23.581,43.011
