step,sft/loss/avg,sft/ppl/avg,timeperf/train_step,sft/vocab_min_logits/avg,sft/vocab_max_logits/avg
122,0.16044,1.1485,0.1389,-22.438,42.097
123,0.16376,1.1601,0.13668,-22.71,42.317
124,0.13872,1.1402,0.13862,-23.28,43.136
125,0.090436,1.0971,0.1293,-22.485,41.883
126,0.13841,1.1383,0.13404,-23.35,43.06
127,0.11516,1.1164,0.13674,-22.994,44.097
128,0.11782,1.1183,0.13404,-23.155,43.514
129,0.13842,1.1406,0.13193,-22.687,42.867
130,0.11505,1.1227,0.13383,-23.69,43.73
131,0.1406,1.1264,0.13446,-22.897,42.72
132,0.15601,1.1517,0.13998,-23.218,42.913
133,0.13121,1.1348,0.14283,-23.464,43.358
134,0.14634,1.1468,0.15118,-23.704,43.613
135,0.10445,1.1048,0.13381,-23.186,43.865
136,0.14114,1.1409,0.14237,-23.031,42.59
137,0.12588,1.1285,0.14844,-23.496,43.898
138,0.137,1.1293,0.14378,-23.394,43.464
139,0.14763,1.1446,0.13438,-23.06,43.107
140,0.10599,1.1008,0.13578,-23.704,43.062
141,0.13957,1.1431,0.14003,-22.698,42.714
142,0.13785,1.1404,0.14398,-23.11,43.074
143,0.10334,1.0998,0.12796,-23.106,42.877
144,0.11557,1.1165,0.13049,-23.079,43.414
145,0.12267,1.121,0.13953,-23.474,43.206
146,0.12784,1.1165,0.1397,-22.979,43.376
147,0.13502,1.1376,0.14325,-24.042,43.641
148,0.11747,1.119,0.14418,-23.994,43.302
149,0.13327,1.148,0.14329,-23.928,43.685
150,0.11223,1.113,0.14092,-23.663,43.409
151,0.14394,1.1337,0.13775,-23.046,42.16
152,0.1346,1.1341,0.14139,-23.531,43.246
153,0.11456,1.1137,0.13669,-23.121,43.127
154,0.12433,1.1297,0.13596,-23.536,43.147
155,0.14054,1.1353,0.13707,-23.266,43.084
156,0.13832,1.1352,0.13728,-23.684,43.542
157,0.12356,1.123,0.13695,-23.617,43.452
158,0.12001,1.1292,0.13593,-23.11,43.298
159,0.12542,1.1225,0.13945,-23.48,42.986
160,0.13265,1.1366,0.1555,-23.361,42.907
161,0.12521,1.1389,0.14529,-23.293,43.28
162,0.12481,1.1208,0.1454,-23.472,43.619
163,0.14234,1.1417,0.2224,-23.587,43.331
164,0.14932,1.1499,0.15058,-23.125,42.974
165,0.12693,1.121,0.13495,-23.347,43.166
166,0.14386,1.1391,0.15318,-23.404,43.283
167,0.11144,1.1185,0.12714,-23.258,42.835
168,0.13165,1.1355,0.13935,-23.396,42.391
169,0.16226,1.1568,0.14839,-23.551,43.074
170,0.12365,1.1385,0.13647,-23.457,43.595
171,0.12435,1.1257,0.14528,-23.435,43.475
172,0.13244,1.1283,0.13449,-23.415,43.432
173,0.12616,1.121,0.13161,-22.942,42.256
174,0.12853,1.1273,0.13962,-23.27,43.061
175,0.13131,1.1218,0.14338,-23.557,43.895
176,0.12286,1.1178,0.14421,-23.232,43.165
177,0.12659,1.1274,0.13492,-23.593,43.399
178,0.13902,1.1336,0.7969,-23.645,43.158
179,0.11966,1.1145,0.13801,-23.426,43.216
180,0.12203,1.1123,0.13528,-23.523,43.168
181,0.14918,1.1417,0.14522,-23.09,43.001
182,0.15034,1.1436,0.13521,-22.557,42.104
183,0.12583,1.126,0.14073,-23.239,42.583
184,0.12846,1.1298,0.15089,-22.842,42.883
185,0.11334,1.117,0.1401,-23.326,43.242
186,0.12374,1.1288,0.14675,-23.424,43.568
187,0.15069,1.155,0.15545,-23.689,43.743
188,0.14568,1.136,0.14844,-22.772,42.963
189,0.11853,1.1091,0.13618,-23.368,42.987
190,0.1394,1.1293,0.14136,-22.934,42.921
191,0.13586,1.134,0.14595,-23.848,43.341
192,0.13249,1.1243,0.14486,-23.146,42.49
193,0.14282,1.1306,0.1465,-23.285,43.068
194,0.10037,1.0993,0.1366,-23.655,43.336
195,0.13122,1.129,0.14009,-23.561,43.342
196,0.1305,1.1289,0.14126,-23.546,42.921
197,0.10884,1.1084,0.13888,-23.422,43.364
198,0.11878,1.1186,0.14125,-22.936,43.079
199,0.1201,1.1118,0.83056,-22.541,42.295
200,0.12717,1.129,0.14693,-23.493,43.704
201,0.13663,1.1445,0.14544,-23.237,42.578
202,0.12207,1.119,0.14167,-23.236,43.095
203,0.13829,1.1364,0.15448,-23.773,43.65
204,0.11432,1.112,0.14796,-23.403,43.691
205,0.11677,1.1149,0.13185,-23.323,43.001
206,0.11374,1.1137,0.13027,-22.892,43.357
207,0.1244,1.1182,0.14111,-23.116,43.307
208,0.13586,1.1354,0.81219,-23.4,43.176
209,0.13868,1.1381,0.13776,-22.929,42.856
210,0.11617,1.1268,0.13989,-23.351,43.332
211,0.094436,1.0943,0.13581,-23.629,43.853
212,0.1204,1.1209,0.14401,-23.435,43.733
213,0.11629,1.1083,0.13582,-22.947,43.408
214,0.12944,1.1287,0.12995,-22.588,41.99
215,0.13831,1.1458,0.14474,-23.733,43.269
216,0.11409,1.1137,0.13874,-23.473,43.317
217,0.11551,1.1174,0.14013,-23.405,43.44
218,0.1342,1.1348,0.14763,-23.289,43.139
219,0.11876,1.1205,0.14318,-22.718,42.85
220,0.12832,1.1322,0.14783,-23.72,44.092
221,0.12267,1.1227,0.67087,-23.736,43.515
222,0.11399,1.106,0.13408,-22.724,43.31
223,0.13767,1.1378,0.14257,-22.98,43.192
224,0.16133,1.1499,0.1351,-22.96,42.094
225,0.11881,1.1125,0.14052,-23.045,43.165
226,0.15109,1.1366,0.13771,-23.477,42.317
227,0.10437,1.099,0.1362,-23.065,42.708
228,0.14242,1.1419,0.14151,-23.72,43.134
229,0.13242,1.1256,0.13581,-22.661,42.778
230,0.11431,1.1159,0.13937,-22.979,42.396
231,0.111,1.1067,0.13675,-23.352,42.847
232,0.14552,1.1345,0.13689,-22.633,42.487
233,0.1241,1.1216,0.13655,-23.22,43.186
234,0.1131,1.1093,0.13821,-22.735,42.671
235,0.10626,1.1034,0.12527,-22.396,41.898
236,0.14535,1.1407,0.14875,-23.699,43.392
237,0.12299,1.1185,0.14741,-23.918,43.662
238,0.15078,1.1291,0.1276,-22.761,41.734
239,0.11712,1.112,0.14034,-22.952,42.634
240,0.11411,1.1038,0.12743,-22.826,42.088
241,0.13685,1.1367,0.14428,-22.883,42.545
242,0.098073,1.1007,0.13581,-23.166,42.954
243,0.11014,1.1133,0.13406,-22.847,43.217
244,0.11448,1.1127,0.146,-23.066,42.484
245,0.14249,1.1403,0.12725,-23.013,42.275
246,0.10509,1.107,0.13237,-22.456,41.629
247,0.13763,1.1368,0.14988,-23.095,42.946
248,0.12754,1.1247,0.1283,-22.478,42.125
