step,ppo_actor/update/new_logp/avg,ppo_actor/no_eos_ratios/avg,ppo_actor/update/compute_logp/kl_div_direct/avg,timeperf/train_step,ppo_actor/update/old_logp/avg,ppo_actor/prompt_len/avg,ppo_actor/update/compute_logp/kl_div_dual/avg,ppo_actor/update/compute_logp/kl_div_taylor/avg,ppo_actor/advantages/avg,ppo_actor/seq_len/avg,ppo_actor/task_reward/avg,ppo_actor/update/compute_logp/prox_logp_gt/avg,ppo_actor/correct_seq_len/avg,ppo_actor/update/actor_loss/avg,ppo_actor/update/dual_clip_ratio/avg,ppo_actor/final_reward/avg,ppo_actor/update/approx_kl/avg,ppo_actor/update/entropy/avg,ppo_actor/update/vocab_max_logits/avg,ppo_actor/incorrect_seq_len/avg,ppo_actor/update/behave_approx_kl/avg,ppo_actor/update/vocab_min_logits/avg,ppo_actor/update/importance_weight/avg,ppo_actor/kl_rewards/avg,ppo_actor/update/behave_imp_weight/avg,ppo_actor/update/clip_ratio/avg,rollout/reward,eval-rollout/reward
19,-0.071943,0.125,0.0012801,3.1057,-0.070663,173.56,0.0011453,0.0011681,-4.8289e-09,1161.0,0.4375,-0.071943,1123.2,1.3543e-05,0.0,2.8294e-12,0.0,0.081953,44.514,1190.4,-0.0012801,-25.141,1.0,0.0,0.99987,0.0,0.36765,
20,-0.085019,0.125,0.0019044,3.2347,-0.083114,222.62,0.0013086,0.0013698,6.6737e-09,1223.5,0.32812,-0.085019,1125.4,3.9796e-05,0.0,9.3049e-13,0.0,0.095567,43.519,1271.5,-0.0019044,-24.395,1.0,0.0,0.9994,0.0,0.25564,
21,-0.07743,0.125,0.001154,3.0849,-0.07629,172.06,0.0011934,0.001233,-1.5261e-08,1140.7,0.25781,-0.077421,964.58,0.00016078,0.0,-1.923e-12,0.0,0.086794,44.44,1201.9,-0.001154,-24.713,0.99999,0.0,1.0,0.0,0.25203,
22,-0.084346,0.125,0.0015116,3.0634,-0.082835,180.38,0.0013273,0.001352,-1.6464e-08,1136.1,0.25,-0.084346,979.41,9.4775e-05,0.0,-1.9489e-12,0.0,0.092562,43.89,1188.3,-0.0015116,-24.456,1.0,0.0,0.99982,0.0,0.35714,
23,-0.068416,0.125,0.0011601,3.1126,-0.067256,197.94,0.0010614,0.0010848,4.6374e-09,1167.4,0.4375,-0.068416,1100.9,6.9534e-05,0.0,-2.8818e-12,0.0,0.076087,44.122,1219.2,-0.0011601,-24.474,1.0,0.0,0.9999,0.0,0.19531,
24,-0.092629,0.125,0.0017887,3.303,-0.09084,228.56,0.0013751,0.0014225,1.4574e-09,1252.3,0.19531,-0.092629,1198.1,7.0664e-05,0.0,-2.2743e-12,0.0,0.10443,42.979,1265.4,-0.0017887,-23.976,1.0,0.0,0.99959,0.0,0.30075,
25,-0.086447,0.125,0.0014087,3.3483,-0.085038,239.5,0.0013073,0.0013449,2.5295e-08,1263.4,0.27344,-0.086447,1205.5,-6.1929e-05,0.0,0.0,0.0,0.097011,43.735,1285.2,-0.0014087,-24.468,1.0,0.0,0.9999,0.0,0.4031,
26,-0.071934,0.125,0.0012486,3.7879,-0.070685,167.06,0.0011486,0.0011853,-3.37e-08,1178.7,0.39844,-0.071934,1161.1,0.00016516,0.0,7.3646e-12,0.0,0.080989,44.851,1190.4,-0.0012486,-24.796,1.0,0.0,0.9999,0.0,0.288,
27,-0.071722,0.125,0.0012328,3.8273,-0.070489,211.69,0.0011744,0.0012059,1.4531e-09,1225.0,0.27344,-0.071722,1150.3,-0.00012417,0.0,-8.2714e-12,0.0,0.080441,44.782,1253.2,-0.0012328,-24.598,1.0,0.0,0.99994,0.0,0.28906,
28,-0.076074,0.125,0.001147,3.0898,-0.074927,191.31,0.0012159,0.0012408,-7.2883e-09,1140.3,0.33594,-0.076074,964.02,1.1422e-05,0.0,-1.9627e-12,0.0,0.084153,43.95,1229.5,-0.001147,-24.725,1.0,0.0,1.0001,0.0,0.1875,
