step,ppo_actor/update/new_logp/avg,ppo_actor/no_eos_ratios/avg,ppo_actor/update/compute_logp/kl_div_direct/avg,timeperf/train_step,ppo_actor/update/old_logp/avg,ppo_actor/prompt_len/avg,ppo_actor/update/compute_logp/kl_div_dual/avg,ppo_actor/update/compute_logp/kl_div_taylor/avg,ppo_actor/advantages/avg,ppo_actor/seq_len/avg,ppo_actor/task_reward/avg,ppo_actor/update/compute_logp/prox_logp_gt/avg,ppo_actor/correct_seq_len/avg,ppo_actor/update/actor_loss/avg,ppo_actor/update/dual_clip_ratio/avg,ppo_actor/final_reward/avg,ppo_actor/update/approx_kl/avg,ppo_actor/update/entropy/avg,ppo_actor/update/vocab_max_logits/avg,ppo_actor/incorrect_seq_len/avg,ppo_actor/update/behave_approx_kl/avg,ppo_actor/update/vocab_min_logits/avg,ppo_actor/update/importance_weight/avg,ppo_actor/kl_rewards/avg,ppo_actor/update/behave_imp_weight/avg,ppo_actor/update/clip_ratio/avg,rollout/reward,eval-rollout/reward
19,-0.16122,0.0625,0.0082404,3.6777,-0.15306,152.5,0.0071605,0.0087062,2.5158e-09,484.18,0.64141,-0.16117,419.03,0.00021866,0.0,-8.4236e-12,0.0,0.17943,27.234,679.66,-0.0082404,-17.395,0.99995,0.0,0.99892,0.0,0.63125,
20,-0.16313,0.035156,0.0081858,3.5032,-0.15506,144.12,0.0069601,0.0078803,2.4471e-08,458.34,0.55469,-0.16309,390.55,-0.000504,0.0,2.964e-12,0.0,0.18207,27.236,666.0,-0.0081858,-17.166,0.99994,0.0,0.99877,0.0,0.55898,
21,-0.15777,0.035156,0.0070652,3.9047,-0.15075,178.41,0.0057349,0.006333,-2.1886e-08,518.83,0.63125,-0.15776,468.58,-0.0003973,0.0,-8.8912e-12,0.0,0.17689,27.011,690.38,-0.0070652,-16.884,0.99998,0.0,0.99867,0.0,0.57695,
22,-0.16911,0.046875,0.0075201,3.6865,-0.16159,164.94,0.0064435,0.0070383,-7.3669e-10,488.57,0.55898,-0.16911,425.05,-0.00014854,0.0,2.8777e-12,0.0,0.18925,26.77,687.32,-0.0075201,-16.657,1.0,0.0,0.99892,0.0,0.66211,
23,-0.15035,0.042969,0.0084817,3.3832,-0.1419,177.34,0.0071114,0.0080835,3.0332e-09,452.46,0.57695,-0.15035,394.08,0.00021055,0.0,-6.7705e-12,0.0,0.16602,26.643,726.18,-0.0084817,-16.414,0.99999,0.0,0.99863,0.0,0.56836,
24,-0.14045,0.035156,0.0062073,3.2259,-0.13427,154.78,0.0052085,0.0057283,1.2925e-08,426.86,0.66211,-0.14043,383.74,-0.00033564,0.0,2.0538e-11,0.0,0.15649,26.944,666.82,-0.0062073,-16.657,0.99999,0.0,0.999,0.0,0.63125,
25,-0.13971,0.046875,0.0046334,3.0102,-0.13508,146.91,0.0045669,0.0048036,-1.8866e-09,399.66,0.56836,-0.13971,366.46,-0.00043024,0.0,-7.3694e-12,0.0,0.15806,26.767,659.55,-0.0046334,-16.567,1.0,0.0,0.99993,0.0,0.58086,
26,-0.16641,0.027344,0.0044263,3.1996,-0.16203,158.66,0.0035608,0.0037272,4.2815e-10,437.09,0.63125,-0.16638,385.95,-0.00069371,0.0,6.6898e-12,0.0,0.19113,26.46,690.37,-0.0044263,-16.422,0.99997,0.0,0.99913,0.0,0.64414,
27,-0.14894,0.058594,0.0045418,3.1045,-0.1444,156.41,0.0041138,0.0042736,1.0111e-08,415.79,0.58086,-0.14894,358.02,0.00020295,0.0,-7.181e-12,0.0,0.16883,26.503,686.67,-0.0045418,-16.301,1.0,0.0,0.99957,0.0,0.68516,
28,-0.14231,0.0078125,0.0046334,3.0573,-0.13771,148.0,0.0039347,0.0042465,-2.04e-08,405.11,0.64414,-0.14231,388.39,0.00041063,0.0,1.4489e-11,0.0,0.16275,26.481,640.24,-0.0046334,-16.36,0.99998,0.0,0.9993,0.0,0.66563,
29,-0.15329,0.039062,0.0047044,3.0721,-0.14859,154.19,0.0035215,0.0038733,-9.3506e-09,409.16,0.68516,-0.15329,371.5,-0.00041292,0.0,-7.3052e-12,0.0,0.17736,26.531,682.52,-0.0047044,-16.517,1.0,0.0,0.99882,0.0,0.65273,
30,-0.13081,0.035156,0.0035193,3.2101,-0.12732,141.97,0.0030006,0.0031264,-3.4274e-09,420.22,0.66563,-0.13081,379.51,-0.00019292,0.0,1.0041e-11,0.0,0.14998,26.901,653.76,-0.0035193,-16.526,0.99999,0.0,0.99948,0.0,0.60078,
31,-0.15219,0.019531,0.0048101,3.0427,-0.14741,150.16,0.0042025,0.0045944,4.7727e-09,399.93,0.65273,-0.15218,371.0,-0.00012067,0.0,2.9829e-11,0.0,0.16991,26.352,692.96,-0.0048101,-16.215,0.99998,0.0,0.99939,0.0,0.5793,
32,-0.15237,0.050781,0.0042182,3.0967,-0.14815,155.78,0.0040856,0.0044734,4.5582e-10,417.31,0.60078,-0.15237,367.12,0.00073952,0.0,0.0,0.0,0.17173,26.249,714.38,-0.0042182,-16.093,1.0,0.0,0.99987,0.0,0.88477,
33,-0.13582,0.019531,0.004068,3.0443,-0.13176,155.78,0.0039002,0.0041962,3.8396e-09,404.16,0.5793,-0.13582,376.61,-1.468e-05,0.0,2.156e-11,0.0,0.15552,26.423,683.26,-0.004068,-16.144,1.0,0.0,0.99983,0.0,0.58047,
34,-0.12845,0.039062,0.0030838,2.8445,-0.12537,134.09,0.0027632,0.0029783,0.0,356.73,0.88477,-0.12845,333.85,-0.00028297,0.0,1.4641e-11,0.0,0.14642,26.725,659.17,-0.0030838,-16.409,1.0,0.0,0.99968,0.0,0.53477,
35,-0.1419,0.023438,0.0030798,3.1361,-0.13882,150.81,0.0023804,0.0026083,-1.1453e-08,424.7,0.58047,-0.1419,394.59,-0.00047304,0.0,-6.8009e-12,0.0,0.16087,26.606,660.34,-0.0030798,-16.168,1.0,0.0,0.9993,0.0,0.51172,
36,-0.17097,0.0078125,0.00285,3.2173,-0.16812,177.69,0.0026704,0.0028535,-1.8762e-09,431.84,0.53477,-0.17097,401.69,-0.00040073,0.0,9.1611e-12,0.0,0.19505,25.935,687.56,-0.00285,-16.07,1.0,0.0,0.99982,0.0,0.65547,
37,-0.16538,0.054688,0.0040044,3.0983,-0.16138,147.91,0.003063,0.0033059,9.9901e-09,410.43,0.51172,-0.16538,355.48,0.00034221,0.0,7.0953e-12,0.0,0.18807,26.156,661.28,-0.0040044,-16.079,1.0,0.0,0.99906,0.0,0.81523,
