step,timeperf/train_step,sft-eval/ppl/avg,sft/loss/avg,sft/vocab_max_logits/avg,sft-eval/vocab_max_logits/avg,sft/vocab_min_logits/avg,sft-eval/loss/avg,sft-eval/vocab_min_logits/avg,sft/ppl/avg
102,0.11378,,0.29125,22.843,,-14.082,,,1.3606
103,0.15996,,0.58978,22.388,,-13.698,,,1.5142
104,0.10913,,0.25209,22.609,,-13.675,,,1.3016
105,0.10905,,0.27961,22.768,,-13.957,,,1.3149
106,0.12011,,0.36366,22.777,,-13.896,,,1.4446
107,0.12755,,0.33067,23.017,,-13.996,,,1.3888
108,0.11637,,0.34492,22.672,,-13.998,,,1.392
109,0.11821,,0.2968,22.991,,-14.054,,,1.3468
110,0.11764,,0.35112,22.643,,-13.83,,,1.4237
111,0.12331,,0.47348,22.4,,-13.806,,,1.4603
112,0.1124,,0.31375,22.624,,-14.053,,,1.3886
113,0.12299,,0.34196,22.737,,-13.936,,,1.432
114,0.117,,0.32861,22.599,,-13.764,,,1.4347
115,0.10927,,0.34069,22.191,,-13.628,,,1.4101
116,0.11168,,0.3736,22.108,,-13.695,,,1.4512
117,0.10486,,0.26894,22.367,,-13.784,,,1.3473
118,0.11949,,0.3281,22.757,,-14.007,,,1.3905
119,0.11714,,0.2975,22.573,,-13.979,,,1.3563
120,0.1129,,0.29347,22.655,,-13.877,,,1.332
121,0.11187,,0.33845,22.044,,-13.586,,,1.3662
122,0.11743,,0.33988,22.368,,-13.796,,,1.3581
123,0.11626,,0.3376,22.594,,-13.757,,,1.4054
124,0.1131,,0.33457,22.572,,-13.722,,,1.3736
125,0.11161,,0.31967,22.714,,-14.007,,,1.3529
126,0.11391,,0.31635,22.774,,-14.059,,,1.4002
127,0.12004,,0.31935,22.883,,-14.072,,,1.3794
128,0.11191,,0.31707,22.347,,-13.812,,,1.4245
129,0.11704,,0.33122,22.59,,-13.902,,,1.4089
130,0.12251,,0.23588,23.336,,-14.559,,,1.2894
131,0.11633,,0.28367,22.77,,-14.018,,,1.3134
132,0.12151,,0.27834,22.963,,-14.137,,,1.3444
133,0.12119,,0.36772,22.568,,-13.744,,,1.423
134,0.11122,,0.2991,22.307,,-13.738,,,1.3664
135,0.11759,,0.31311,22.928,,-14.041,,,1.3472
136,0.11099,,0.27541,22.675,,-14.0,,,1.3365
137,0.11538,,0.32821,22.58,,-13.89,,,1.3862
138,0.11637,,0.30262,22.782,,-13.975,,,1.3688
139,0.11697,,0.36406,22.796,,-14.002,,,1.4812
140,0.11863,,0.30294,22.915,,-13.995,,,1.3633
141,0.12036,,0.28772,23.016,,-14.301,,,1.3359
142,0.11243,,0.37581,22.441,,-13.733,,,1.4298
143,0.11367,,0.32715,22.851,,-14.129,,,1.4226
144,0.11696,,0.34294,22.743,,-13.75,,,1.4059
145,0.12206,,0.33872,23.264,,-14.227,,,1.3949
146,0.10925,,0.34682,22.599,,-13.918,,,1.4258
147,0.11028,,0.33051,22.259,,-13.775,,,1.3757
148,0.11496,,0.31987,22.292,,-13.557,,,1.3826
149,0.11871,,0.29397,22.837,,-13.916,,,1.3735
150,0.11833,1.5088,0.38165,22.446,22.577,-13.715,0.39601,-13.745,1.4526
151,0.11635,,0.29077,22.512,,-13.781,,,1.3304
152,0.12048,,0.26127,22.752,,-13.715,,,1.31
153,0.11432,,0.34806,22.312,,-13.556,,,1.4361
154,0.11701,,0.29506,22.87,,-13.967,,,1.318
155,0.11375,,0.31475,22.695,,-13.966,,,1.7157
156,0.11877,,0.3429,22.521,,-13.62,,,1.3771
157,0.11742,,0.35635,22.727,,-13.97,,,1.3991
158,0.10975,,0.30307,22.603,,-13.888,,,1.3694
159,0.11726,,0.32334,22.851,,-13.937,,,1.3768
160,0.11791,,0.39773,22.425,,-13.748,,,1.4549
161,0.11617,,0.34566,22.801,,-13.903,,,1.3913
162,0.11633,,0.25655,22.802,,-13.993,,,1.3156
163,0.11489,,0.281,22.959,,-14.125,,,1.3299
164,0.11168,,0.31086,22.628,,-13.951,,,1.3488
165,0.14924,,0.40933,22.746,,-13.529,,,1.3887
166,0.11727,,0.33446,22.687,,-13.923,,,1.3844
167,0.11419,,0.34703,22.516,,-13.923,,,1.4017
168,0.11461,,0.3802,22.229,,-13.631,,,1.4346
169,0.11267,,0.32645,22.322,,-13.692,,,1.3781
170,0.12304,,0.36766,22.591,,-13.698,,,1.4481
171,0.11317,,0.32628,22.461,,-13.838,,,1.3819
172,0.11322,,0.33923,22.29,,-13.734,,,1.3823
173,0.11383,,0.29381,22.442,,-13.788,,,1.3823
174,0.8016,,0.35322,22.273,,-13.487,,,1.3888
175,0.11364,,0.32413,22.582,,-13.733,,,1.3827
176,0.11332,,0.27508,22.757,,-13.938,,,1.2944
177,0.11776,,0.30395,22.89,,-14.048,,,1.361
178,0.11569,,0.34105,22.477,,-13.725,,,1.4259
179,0.12234,,0.28802,22.403,,-13.658,,,1.3237
180,0.12276,,0.24132,22.892,,-13.848,,,1.2701
181,0.14942,,0.32546,22.699,,-13.544,,,1.2701
182,0.11502,,0.20874,23.096,,-14.132,,,1.2339
183,0.1156,,0.22353,23.156,,-14.348,,,1.2373
184,0.12099,,0.2387,23.248,,-14.31,,,1.2465
185,0.74983,,0.27976,22.993,,-14.259,,,1.3143
186,0.11157,,0.2123,24.001,,-15.136,,,1.2581
187,0.11551,,0.21468,24.179,,-14.955,,,1.2517
188,0.11807,,0.27546,24.204,,-15.242,,,1.3012
189,0.11322,,0.21904,24.666,,-15.769,,,1.2463
190,0.11283,,0.18758,25.052,,-15.86,,,1.213
191,0.78668,,0.2336,25.097,,-16.069,,,1.2553
192,0.11843,,0.25902,24.69,,-15.631,,,1.2804
193,0.10986,,0.19596,24.79,,-15.867,,,1.2066
194,0.11367,,0.19887,24.811,,-16.045,,,1.2308
195,0.10938,,0.17561,24.925,,-16.085,,,1.1957
196,0.10571,,0.19621,24.527,,-15.853,,,1.2112
197,0.11368,,0.35163,23.976,,-15.57,,,1.3982
198,0.11409,,0.23434,25.002,,-15.837,,,1.2546
199,0.11476,,0.19834,24.893,,-15.819,,,1.2304
200,0.11261,1.5654,0.23602,24.282,24.454,-15.683,0.42943,-15.6,1.2533
201,0.11973,,0.23108,24.105,,-15.413,,,1.2548
202,0.1283,,0.31279,24.319,,-15.38,,,1.2388
203,0.1121,,0.21778,24.059,,-15.307,,,1.2377
204,0.11813,,0.23582,24.189,,-15.236,,,1.2623
205,0.12021,,0.22114,24.293,,-15.334,,,1.2382
206,0.11206,,0.19206,24.214,,-15.478,,,1.2188
207,0.11441,,0.2306,24.074,,-15.276,,,1.2683
208,0.12335,,0.23756,24.633,,-15.606,,,1.2853
209,0.11776,,0.23579,24.349,,-15.574,,,1.2715
210,0.12165,,0.26116,24.035,,-15.208,,,1.266
211,0.12019,,0.27334,24.522,,-15.578,,,1.3075
212,0.12038,,0.21112,24.832,,-15.94,,,1.2246
213,0.11214,,0.3274,23.93,,-15.398,,,1.3408
214,0.11509,,0.20276,24.858,,-16.012,,,1.2245
215,0.11857,,0.20576,24.696,,-15.709,,,1.2185
216,0.1124,,0.24585,24.045,,-15.487,,,1.2609
217,0.12468,,0.27615,24.175,,-15.639,,,1.3112
218,0.12019,,0.25695,24.235,,-15.385,,,1.2763
219,0.11825,,0.19882,24.663,,-15.914,,,1.214
220,0.11945,,0.20163,24.636,,-15.835,,,1.2183
221,0.11162,,0.23574,24.107,,-15.446,,,1.2789
222,0.11522,,0.20546,24.766,,-15.951,,,1.2477
223,0.11889,,0.24779,24.524,,-15.891,,,1.2468
224,0.11804,,0.18244,25.033,,-16.133,,,1.2087
225,0.11743,,0.23937,24.428,,-15.798,,,1.2681
226,0.11463,,0.18193,25.223,,-16.182,,,1.2384
227,0.11858,,0.23677,24.863,,-16.022,,,1.2562
228,0.1129,,0.21062,24.706,,-15.888,,,1.2427
229,0.11057,,0.26635,24.353,,-15.559,,,1.2979
230,0.11572,,0.2555,24.325,,-15.601,,,1.2881
231,0.12221,,0.24831,24.771,,-15.824,,,1.2633
232,0.11104,,0.20942,24.418,,-15.549,,,1.2273
233,0.11449,,0.24281,24.566,,-15.697,,,1.2652
234,0.19164,,0.22732,24.878,,-15.873,,,1.2667
235,0.12023,,0.23505,24.617,,-15.563,,,1.2626
236,0.11303,,0.25266,24.053,,-15.462,,,1.2832
237,0.12022,,0.20247,24.725,,-15.793,,,1.2375
238,0.11388,,0.27864,24.094,,-15.433,,,1.3087
239,0.11424,,0.24275,24.476,,-15.655,,,1.2726
240,0.12241,,0.24399,24.488,,-15.683,,,1.255
241,0.11659,,0.19222,24.688,,-16.036,,,1.2254
242,0.11539,,0.24249,24.345,,-15.678,,,1.2653
243,0.11935,,0.20477,24.809,,-15.75,,,1.2305
244,0.11898,,0.25779,24.17,,-15.332,,,1.2491
245,0.16344,,0.4637,24.205,,-15.656,,,1.2652
246,0.11105,,0.23908,24.228,,-15.501,,,1.2449
247,0.11509,,0.23043,24.41,,-15.535,,,1.2306
248,0.11891,,0.2515,24.423,,-15.56,,,1.2723
249,0.11392,,0.25395,24.779,,-15.955,,,1.2934
250,0.11608,1.5681,0.2726,24.449,24.564,-15.685,0.42971,-15.701,1.2863
