step,timeperf/rollout,ppo_actor/correct_n_seqs,ppo_actor/update/approx_kl/avg,ppo_actor/update/importance_weight/max,timeperf/recompute_logp,ppo_actor/correct_seq_len/avg,ppo_actor/update/approx_kl/max,ppo_actor/update/importance_weight/min,teacher_answer_n_seqs,ppo_actor/correct_seq_len/max,ppo_actor/update/approx_kl/min,ppo_actor/update/lr,teacher_answer_logp/avg,ppo_actor/correct_seq_len/min,ppo_actor/update/behave_approx_kl/avg,ppo_actor/update/n_tokens,teacher_answer_logp/min,ppo_actor/eps_clip,ppo_actor/update/behave_approx_kl/max,ppo_actor/update/n_valid_tokens,teacher_answer_logp/max,ppo_actor/final_reward/avg,ppo_actor/update/behave_approx_kl/min,ppo_actor/update/new_logp/avg,teacher_answer_reward/avg,ppo_actor/final_reward/max,ppo_actor/update/behave_imp_weight/avg,ppo_actor/update/new_logp/max,teacher_answer_reward/min,ppo_actor/final_reward/min,ppo_actor/update/behave_imp_weight/max,ppo_actor/update/new_logp/min,teacher_answer_reward/max,ppo_actor/incorrect_n_seqs,ppo_actor/update/behave_imp_weight/min,ppo_actor/update/old_logp/avg,teacher_answer_len/avg,ppo_actor/incorrect_seq_len/avg,ppo_actor/update/clip_ratio/avg,ppo_actor/update/old_logp/max,teacher_answer_len/min,ppo_actor/incorrect_seq_len/max,ppo_actor/update/clip_ratio/max,ppo_actor/update/old_logp/min,teacher_answer_len/max,ppo_actor/incorrect_seq_len/min,ppo_actor/update/clip_ratio/min,ppo_actor/update/rs_filtered_fraction,teacher_context_len/avg,ppo_actor/kl_rewards/avg,ppo_actor/update/clipped_tokens,ppo_actor/update/unclipped_behave_tokens,teacher_context_len/min,ppo_actor/kl_rewards/max,ppo_actor/update/compute_logp/kl_div_direct/avg,ppo_actor/update/update_successful,teacher_context_len/max,ppo_actor/kl_rewards/min,ppo_actor/update/compute_logp/kl_div_direct/max,ppo_actor/update/version_stats/n_valid_generated_tokens,teacher_added_prefix_len/avg,ppo_actor/mask_no_eos_with_zero,ppo_actor/update/compute_logp/kl_div_direct/min,ppo_actor/update/version_stats/n_valid_tokens,teacher_added_prefix_len/min,ppo_actor/n_seqs,ppo_actor/update/compute_logp/kl_div_dual/avg,ppo_actor/update/version_stats/sample_staleness_proximal_avg,teacher_added_prefix_len/max,ppo_actor/n_tokens,ppo_actor/update/compute_logp/kl_div_dual/max,ppo_actor/update/version_stats/sample_staleness_proximal_max,teacher_format_found/avg,ppo_actor/n_valid_tokens,ppo_actor/update/compute_logp/kl_div_dual/min,ppo_actor/update/version_stats/sample_staleness_proximal_min,teacher_format_found/min,ppo_actor/no_eos_ratios/avg,ppo_actor/update/compute_logp/kl_div_taylor/avg,ppo_actor/update/version_stats/sample_staleness_theta_avg,teacher_format_found/max,ppo_actor/no_eos_ratios/max,ppo_actor/update/compute_logp/kl_div_taylor/max,ppo_actor/update/version_stats/sample_staleness_theta_max,teacher_optimized_len/avg,ppo_actor/no_eos_ratios/min,ppo_actor/update/compute_logp/kl_div_taylor/min,ppo_actor/update/version_stats/sample_staleness_theta_min,teacher_optimized_len/min,ppo_actor/prompt_len/avg,ppo_actor/update/compute_logp/n_valid_tokens,ppo_actor/update/version_stats/v_proximal,teacher_optimized_len/max,ppo_actor/prompt_len/max,ppo_actor/update/compute_logp/prox_logp_gt/avg,ppo_actor/update/version_stats/v_theta,timeperf/rollout_postprocess,ppo_actor/prompt_len/min,ppo_actor/update/compute_logp/prox_logp_gt/max,ppo_actor/update/vocab_max_logits/avg,timeperf/compute_advantage,ppo_actor/rs_upper,ppo_actor/update/compute_logp/prox_logp_gt/min,ppo_actor/update/vocab_max_logits/max,timeperf/train_step,ppo_actor/seq_len/avg,ppo_actor/update/dual_clip_ratio/avg,ppo_actor/update/vocab_max_logits/min,timeperf/update_weights,ppo_actor/seq_len/max,ppo_actor/update/dual_clip_ratio/max,ppo_actor/update/vocab_min_logits/avg,timeperf/save,ppo_actor/seq_len/min,ppo_actor/update/dual_clip_ratio/min,ppo_actor/update/vocab_min_logits/max,timeperf/checkpoint_for_recover,ppo_actor/task_reward/avg,ppo_actor/update/dual_clipped_tokens,ppo_actor/update/vocab_min_logits/min,timeperf/eval,ppo_actor/task_reward/max,ppo_actor/update/entropy/avg,ppo_actor/use_dual_clip,timeperf/clear_batches,ppo_actor/task_reward/min,ppo_actor/update/entropy/max,rollout/accepted,ppo_actor/advantages/avg,ppo_actor/update/actor_loss/avg,ppo_actor/update/entropy/min,rollout/reward,ppo_actor/advantages/max,ppo_actor/update/actor_loss/max,ppo_actor/update/grad_norm,eval-rollout/reward,ppo_actor/advantages/min,ppo_actor/update/actor_loss/min,ppo_actor/update/importance_weight/avg
59,0.0015702,110.0,0.0,1.0,0.47919,343.94,0.0,1.0,256.0,560.0,0.0,3e-06,-2.0572,229.0,-0.0011251,110320.0,-11.563,0.25,0.76176,66062.0,0.0,-0.00010598,-0.75455,-0.16317,-1.5783,2.3693,1.0002,0.0,-10.642,-2.4232,2.142,-5.0139,0.94896,146.0,0.47022,-0.16204,5.0625,496.51,0.0,0.0,2.0,625.0,0.0,-4.446,33.0,266.0,0.0,0.0,427.24,0.0,0.0,66062.0,226.0,0.0,0.0011251,1.0,625.0,0.0,0.75455,16452.0,1.5469,0.0,-0.76176,66062.0,0.0,256.0,0.0013102,1.0,4.0,155260.0,0.38029,1.0,0.61328,66062.0,-8.3804e-08,1.0,0.0,0.0625,0.001312,2.0,1.0,1.0,0.29014,2.0,258.05,0.0,0.0,2.0,91.0,172.89,66062.0,57.0,384.0,241.0,-0.16317,58.0,0.65175,131.0,0.0,26.59,0.13113,5.0,-5.0139,44.25,3.3117,430.95,0.0,6.5938,0.085781,625.0,0.0,-16.939,0.00030631,229.0,0.0,-7.375,9.4612e-05,-1.5783,0.0,-40.25,4.3065e-05,0.94896,0.18793,0.0,0.0038294,-10.642,2.6147,1.0,1.2935e-08,-3.2248e-05,6.7652e-16,0.0,3.3971,5.8111,0.6412,,-3.3583,-5.0129,1.0
60,0.0017115,122.0,0.0,1.0,0.47241,343.03,0.0,1.0,256.0,535.0,0.0,3e-06,-2.4956,240.0,-0.001467,108360.0,-15.886,0.25,1.333,61295.0,0.0,-0.0001414,-1.1938,-0.18925,-1.8859,2.0528,1.0001,0.0,-14.964,-2.4748,3.7922,-5.0792,0.95781,134.0,0.30308,-0.18778,23.133,496.34,0.0,0.0,2.0,838.0,0.0,-4.5413,556.0,237.0,0.0,0.0,418.5,0.0,0.0,61295.0,231.0,0.0,0.001467,1.0,838.0,-0.0,1.1938,15260.0,1.0625,0.0,-1.333,61295.0,0.0,256.0,0.0015685,1.0,4.0,186240.0,1.4593,1.0,0.73438,61295.0,-8.8708e-08,1.0,0.0,0.0625,0.001568,2.0,1.0,1.0,0.88838,2.0,239.43,0.0,0.0,2.0,79.0,183.84,61295.0,58.0,384.0,454.0,-0.18925,59.0,0.66004,132.0,0.0,26.13,0.13624,5.0,-5.0792,44.25,3.2149,423.28,0.0,6.5625,0.081165,838.0,0.0,-16.687,0.00033656,237.0,0.0,-7.0312,0.00010759,-1.8859,0.0,-40.0,4.3425e-05,0.95781,0.21929,0.0,0.0033954,-14.964,2.4968,1.0,1.9915e-08,-1.3021e-05,1.4003e-15,0.0,3.3422,5.0678,0.70004,,-3.8395,-7.2068,1.0
61,0.0014501,129.0,0.0,1.0,0.47275,320.85,0.0,1.0,256.0,933.0,0.0,3e-06,-2.1084,211.0,-0.001767,106720.0,-11.806,0.25,0.93317,57973.0,0.0,2.1973e-05,-1.3333,-0.19129,-1.4802,1.4994,0.99976,0.0,-10.88,-1.8602,2.5426,-4.8931,0.9651,127.0,0.2636,-0.18952,3.9062,514.39,0.0,0.0,2.0,1009.0,0.0,-4.5229,18.0,229.0,0.0,0.0,411.49,0.0,0.0,57973.0,208.0,0.0,0.001767,1.0,1009.0,0.0,1.3333,14429.0,1.0156,0.0,-0.93317,57973.0,0.0,256.0,0.0015249,1.0,4.0,216320.0,0.60939,1.0,0.74609,57973.0,-8.5216e-08,1.0,0.0,0.039062,0.0015541,2.0,1.0,1.0,0.88887,2.0,226.46,0.0,0.0,2.0,67.0,190.41,57973.0,59.0,384.0,630.0,-0.19129,60.0,0.65938,125.0,0.0,26.189,0.15743,5.0,-4.8931,43.75,3.1684,416.86,0.0,6.5,0.08562,1009.0,0.0,-16.628,0.00039311,211.0,0.0,-6.9062,0.00012595,-1.4802,0.0,-39.75,4.9164e-05,0.9651,0.2225,0.0,0.0037165,-10.88,2.5138,1.0,-2.1056e-08,-0.00028777,1.2095e-14,0.0,2.6131,5.511,0.76397,,-3.3349,-3.157,1.0
62,0.0014338,106.0,0.0,1.0,0.49464,351.12,0.0,1.0,256.0,668.0,0.0,3e-06,-2.2727,209.0,-0.0023773,117160.0,-11.25,0.25,0.929,70832.0,0.0,-2.8129e-05,-1.5726,-0.19104,-1.8387,1.8758,0.99943,0.0,-10.369,-2.1187,2.532,-4.4201,0.96719,150.0,0.20751,-0.18866,12.5,532.91,0.0,0.0,2.0,690.0,0.0,-4.2987,195.0,240.0,0.0,0.0,452.56,0.0,0.0,70832.0,206.0,-0.0,0.0023773,1.0,690.0,-0.0,1.5726,17644.0,1.6875,0.0,-0.929,70832.0,0.0,256.0,0.0018072,1.0,4.0,170240.0,0.78007,1.0,0.57812,70832.0,-8.9407e-08,1.0,0.0,0.054688,0.0018588,2.0,1.0,1.0,1.2365,2.0,276.69,0.0,0.0,2.0,63.0,180.95,70832.0,60.0,384.0,310.0,-0.19104,61.0,0.69558,132.0,0.0,26.405,0.12773,5.0,-4.4201,45.5,3.5558,457.64,0.0,6.5,0.084307,690.0,0.0,-16.792,0.00029941,209.0,0.0,-7.4062,9.8488e-05,-1.8387,0.0,-39.25,4.0972e-05,0.96719,0.21936,0.0,0.0036715,-10.369,2.4052,1.0,1.034e-08,-0.00041918,3.5542e-16,0.0,2.7575,4.9839,0.60222,,-3.1014,-4.4458,1.0
63,0.0016856,106.0,0.0,1.0,0.48685,294.32,0.0,1.0,256.0,521.0,0.0,3e-06,-1.981,233.0,-0.0030072,118190.0,-11.98,0.25,1.0364,67852.0,0.0,8.6294e-05,-1.1962,-0.2234,-1.6074,2.015,0.99916,0.0,-12.18,-2.3673,2.819,-4.7082,0.9599,150.0,0.30236,-0.22039,16.75,579.93,0.0,0.0,2.0,1086.0,0.0,-4.6583,265.0,251.0,0.0,0.0,458.73,0.0,0.0,67852.0,229.0,0.0,0.0030072,1.0,1086.0,0.0,1.1962,16899.0,1.9531,0.0,-1.0364,67852.0,0.0,256.0,0.0021661,1.0,4.0,235650.0,0.78264,1.0,0.51172,67852.0,-8.7253e-08,1.0,0.0,0.058594,0.0022214,2.0,1.0,1.0,0.71539,2.0,265.05,0.0,0.0,2.0,77.0,196.62,67852.0,61.0,384.0,706.0,-0.2234,62.0,0.66277,133.0,0.0,25.939,0.15731,5.0,-4.7082,45.5,3.492,461.67,0.0,6.5312,0.083952,1086.0,0.0,-16.48,0.00032262,233.0,0.0,-7.375,0.00010692,-1.6074,0.0,-39.5,4.2994e-05,0.9599,0.25477,0.0,0.0036495,-12.18,2.3833,1.0,7.1963e-09,-0.00027094,5.5974e-16,0.0,2.8177,5.4643,0.67747,,-3.4129,-3.8823,1.0
64,0.0019594,141.0,0.0,1.0,0.45901,326.09,0.0,1.0,256.0,525.0,0.0,3e-06,-1.6863,226.0,-0.0024844,101840.0,-17.523,0.25,1.1747,58867.0,0.0,-4.2009e-05,-1.231,-0.18668,-1.0639,2.2553,0.99971,0.0,-17.723,-2.3455,3.2373,-4.7501,0.95833,115.0,0.292,-0.1842,4.5312,485.79,0.0,0.0,1.0,746.0,0.0,-4.5602,17.0,237.0,0.0,0.0,390.82,0.0,0.0,58867.0,218.0,0.0,0.0024844,1.0,746.0,-0.0,1.231,14653.0,1.0312,0.0,-1.1747,58867.0,0.0,256.0,0.0021952,1.0,4.0,173440.0,1.0626,1.0,0.74219,58867.0,-8.9407e-08,1.0,0.0,0.050781,0.0022341,2.0,1.0,1.0,0.75767,2.0,229.95,0.0,0.0,2.0,80.0,167.88,58867.0,62.0,384.0,426.0,-0.18668,63.0,0.63674,126.0,0.0,26.359,0.12949,5.0,-4.7501,44.25,3.1013,397.83,0.0,6.5312,0.088781,746.0,0.0,-16.893,0.00035356,226.0,0.0,-7.375,0.00011658,-1.0639,0.0,-39.0,4.9765e-05,0.95833,0.21433,0.0,0.0035661,-17.723,2.5901,1.0,0.0,-0.00022125,6.355e-15,0.0,3.6935,6.06,0.72832,,-3.7878,-5.3681,1.0
65,0.0015215,142.0,0.0,1.0,0.47379,349.68,0.0,1.0,256.0,587.0,0.0,3e-06,-1.4759,221.0,-0.002661,109290.0,-12.188,0.25,1.1938,66725.0,0.0,-0.00011462,-1.3375,-0.17947,-0.97098,2.4122,0.99947,0.0,-11.244,-2.4746,3.2995,-4.4419,0.96979,114.0,0.26249,-0.1768,4.6875,523.09,0.0,0.0,2.0,607.0,0.0,-4.7661,17.0,258.0,0.0,0.0,421.77,0.0,0.0,66725.0,217.0,0.0,0.002661,1.0,607.0,-0.0,1.3375,16617.0,1.4375,0.0,-1.1938,66725.0,0.0,256.0,0.002133,1.0,4.0,152830.0,1.1057,1.0,0.64062,66725.0,-8.7428e-08,1.0,0.0,0.035156,0.0021731,2.0,1.0,1.0,0.8945,2.0,260.64,0.0,0.0,2.0,58.0,166.26,66725.0,63.0,384.0,251.0,-0.17947,64.0,0.64808,128.0,0.0,26.531,0.12522,5.0,-4.4419,45.0,3.3129,426.9,0.0,6.5312,0.087934,607.0,0.0,-16.897,0.00034933,221.0,0.0,-7.375,0.00010237,-0.97098,0.0,-39.0,4.2093e-05,0.96979,0.20623,0.0,0.003734,-11.244,2.5166,1.0,9.1473e-09,2.0927e-05,1.1124e-16,0.0,3.6768,5.5419,0.59295,,-3.6383,-5.3771,1.0
66,0.0012033,147.0,0.0,1.0,0.46343,342.99,0.0,1.0,256.0,528.0,0.0,3e-06,-1.2371,216.0,-0.0022026,105190.0,-13.128,0.25,1.1407,63284.0,0.0,-0.00033802,-1.256,-0.16594,-0.65885,1.5068,0.99975,0.0,-12.314,-2.4742,3.1289,-4.3281,0.96667,109.0,0.2848,-0.16374,7.6562,502.47,0.0,0.0,2.0,615.0,0.0,-4.3629,103.0,227.0,0.0,0.0,405.33,0.0,0.0,63284.0,213.0,0.0,0.0022026,1.0,615.0,-0.0,1.256,15757.0,1.1719,0.0,-1.1407,63284.0,0.0,256.0,0.0019489,1.0,4.0,152320.0,0.98823,1.0,0.70703,63284.0,-8.7661e-08,1.0,0.0,0.058594,0.0019807,2.0,1.0,1.0,0.78871,2.0,247.2,0.0,0.0,2.0,64.0,163.69,63284.0,64.0,384.0,261.0,-0.16594,65.0,0.65203,130.0,0.0,26.653,0.12438,5.0,-4.3281,43.5,3.6887,410.89,0.0,6.5,0.086471,615.0,0.0,-16.987,0.00028676,216.0,0.0,-7.4062,9.0797e-05,-0.65885,0.0,-38.75,4.1252e-05,0.96667,0.19147,0.0,0.0037666,-12.314,2.3298,1.0,1.9289e-09,-0.0004327,5.7547e-15,0.0,2.4866,6.6043,0.66378,,-3.5621,-3.6902,1.0
67,0.0016503,126.0,0.0,1.0,0.48835,358.36,0.0,1.0,256.0,830.0,0.0,3e-06,-1.6208,222.0,-0.0027706,117470.0,-11.979,0.25,1.0769,67672.0,0.0,-0.0003117,-1.3847,-0.18762,-1.1413,1.4233,0.99939,0.0,-11.079,-2.4748,2.9355,-4.7762,0.96094,130.0,0.25041,-0.18485,24.25,556.3,0.0,0.0,2.0,869.0,0.0,-4.5507,387.0,256.0,0.0,0.0,453.88,0.0,0.0,67672.0,218.0,0.0,0.0027706,1.0,869.0,-0.0,1.3847,16854.0,1.5312,0.0,-1.0769,67672.0,0.0,256.0,0.0021631,1.0,4.0,219900.0,0.85865,1.0,0.61719,67672.0,-8.6962e-08,1.0,0.0,0.054688,0.0022188,2.0,1.0,1.0,0.95864,2.0,264.34,0.0,0.0,2.0,75.0,194.53,67672.0,65.0,384.0,485.0,-0.18762,66.0,0.65797,132.0,0.0,26.305,0.14677,5.0,-4.7762,45.0,3.4772,458.88,0.0,6.5312,0.082557,869.0,0.0,-16.753,0.00031782,222.0,0.0,-7.4062,0.00010385,-1.1413,0.0,-39.75,4.3746e-05,0.96094,0.21655,0.0,0.0036611,-11.079,2.6352,1.0,-4.5096e-09,0.00010321,4.7396e-15,0.0,2.2342,5.8936,0.60358,,-3.4101,-3.7854,1.0
68,0.001407,115.0,0.0,1.0,0.48338,343.74,0.0,1.0,256.0,575.0,0.0,3e-06,-2.1055,241.0,-0.0023254,114910.0,-11.875,0.25,1.0473,68630.0,0.0,-0.0001453,-0.79759,-0.19136,-1.6358,1.8928,0.99939,0.0,-10.957,-2.2551,2.85,-5.0377,0.95468,141.0,0.45041,-0.18903,26.375,534.63,0.0,0.0,2.0,790.0,0.0,-4.9686,615.0,273.0,0.0,0.0,444.02,0.0,0.0,68630.0,234.0,0.0,0.0023254,1.0,790.0,0.0,0.79759,17094.0,1.5625,0.0,-1.0473,68630.0,0.0,256.0,0.0017195,1.0,4.0,182020.0,0.80269,1.0,0.60938,68630.0,-8.7166e-08,1.0,0.0,0.0625,0.0017348,2.0,1.0,1.0,0.54844,2.0,268.09,0.0,0.0,2.0,87.0,180.79,68630.0,66.0,384.0,406.0,-0.19136,67.0,0.68133,131.0,0.0,26.398,0.13252,5.0,-5.0377,45.75,3.4544,448.88,0.0,6.5312,0.085397,790.0,0.0,-16.947,0.00068052,241.0,0.0,-6.9688,0.0002163,-1.6358,0.0,-39.25,8.1523e-05,0.95468,0.21893,0.0,0.0043932,-10.957,2.4711,1.0,0.0,-0.00016421,7.7723e-15,0.0,3.0317,4.5909,0.63128,,-3.4217,-4.1634,1.0
69,0.0018875,108.0,0.0,1.0,0.48563,337.32,0.0,1.0,256.0,599.0,0.0,3e-06,-2.0512,217.0,-0.0024721,116880.0,-16.518,0.25,0.90705,70620.0,0.0,-2.4589e-05,-0.90009,-0.20964,-1.6675,2.1729,0.99927,0.0,-16.718,-2.4212,2.477,-4.8362,0.96667,148.0,0.40653,-0.20716,27.0,543.55,0.0,0.0,1.0,717.0,0.0,-4.9568,717.0,257.0,0.0,0.0,452.8,0.0,0.0,70620.0,210.0,0.0,0.0024721,1.0,717.0,0.0,0.90009,17591.0,1.8906,0.0,-0.90705,70620.0,0.0,256.0,0.0017441,1.0,4.0,169090.0,0.56995,1.0,0.52734,70620.0,-8.9407e-08,1.0,0.0,0.0625,0.0017643,2.0,1.0,1.0,0.41137,2.0,275.86,0.0,0.0,2.0,64.0,180.69,70620.0,67.0,384.0,333.0,-0.20964,68.0,0.68369,133.0,0.0,26.14,0.13328,5.0,-4.8362,44.25,3.4949,456.55,0.0,6.5,0.08951,717.0,0.0,-16.839,0.00041757,217.0,0.0,-7.0,0.00012974,-1.6675,0.0,-39.0,5.5634e-05,0.96667,0.24148,0.0,0.0040798,-16.718,2.6226,1.0,-1.0371e-08,-0.00049189,4.7213e-15,0.0,2.9784,4.8043,0.60419,,-3.2914,-4.6521,1.0
70,0.001882,103.0,0.0,1.0,0.5117,361.93,0.0,1.0,256.0,601.0,0.0,3e-06,-2.7349,219.0,-0.0016355,130210.0,-28.151,0.25,0.93283,77254.0,0.0,-0.00029291,-1.1054,-0.2005,-2.4389,2.0517,1.0001,0.0,-28.351,-2.4748,2.5417,-4.6783,0.96562,153.0,0.33109,-0.19887,5.9375,607.39,0.0,0.0,2.0,876.0,0.0,-4.3906,48.0,332.0,0.0,0.0,503.3,0.0,0.0,77254.0,215.0,0.0,0.0016355,1.0,876.0,-0.0,1.1054,19250.0,2.1875,0.0,-0.93283,77254.0,0.0,256.0,0.0017064,1.0,4.0,220420.0,0.60887,1.0,0.45312,77254.0,-8.9465e-08,1.0,0.0,0.0625,0.001714,2.0,1.0,1.0,0.61093,2.0,301.77,0.0,0.0,2.0,66.0,206.86,77254.0,68.0,384.0,492.0,-0.2005,69.0,0.71277,132.0,0.0,26.546,0.15934,5.0,-4.6783,44.5,3.9345,508.63,0.0,6.5,0.14675,876.0,0.0,-17.117,0.00057743,219.0,0.0,-7.375,0.0001841,-2.4389,0.0,-39.25,7.7507e-05,0.96562,0.23274,0.0,0.0038857,-28.351,2.5559,1.0,-1.7381e-08,-0.00024623,1.0785e-15,0.0,2.5995,6.0691,0.62026,,-2.8375,-3.88,1.0
71,0.0016642,115.0,0.0,1.0,0.50769,337.36,0.0,1.0,256.0,573.0,0.0,3e-06,-1.8139,198.0,-0.0018298,117150.0,-11.979,0.25,0.92543,70462.0,0.0,-0.00020434,-0.77006,-0.20046,-1.3909,1.8074,0.99983,0.0,-11.076,-2.3712,2.5229,-4.7271,0.96406,141.0,0.46299,-0.19863,11.656,555.72,0.0,0.0,2.0,733.0,0.0,-4.2938,173.0,328.0,0.0,0.0,452.37,0.0,0.0,70462.0,194.0,0.0,0.0018298,1.0,733.0,-0.0,0.77006,17552.0,1.7344,0.0,-0.92543,70462.0,0.0,256.0,0.0016571,1.0,4.0,180350.0,0.59752,1.0,0.56641,70462.0,-8.7079e-08,1.0,0.0,0.0625,0.0016628,2.0,1.0,1.0,0.42821,2.0,275.24,0.0,0.0,2.0,69.0,182.38,70462.0,69.0,384.0,349.0,-0.20046,70.0,0.65814,129.0,0.0,26.437,0.13598,5.0,-4.7271,44.75,3.5011,457.62,0.0,6.5312,0.079668,733.0,0.0,-16.99,0.00040206,198.0,0.0,-7.375,0.00011556,-1.3909,0.0,-42.5,5.4362e-05,0.96406,0.2296,0.0,0.0038504,-11.076,2.2699,1.0,4.3311e-09,-1.7607e-05,2.4521e-15,0.0,2.6053,4.3449,0.6366,,-3.1673,-3.998,1.0
72,0.0012278,134.0,0.0,1.0,0.48411,355.29,0.0,1.0,256.0,560.0,0.0,3e-06,-1.5003,216.0,-0.0018972,113620.0,-10.208,0.25,0.63341,67803.0,0.0,-0.00030081,-1.1938,-0.21485,-1.0133,1.5324,0.99968,0.0,-9.3849,-2.4748,1.884,-4.8181,0.9625,122.0,0.30308,-0.21295,4.8125,541.06,0.0,0.0,2.0,730.0,0.0,-4.7256,28.0,253.0,0.0,0.0,438.82,0.0,0.0,67803.0,210.0,0.0,0.0018972,1.0,730.0,-0.0,1.1938,16887.0,1.5,0.0,-0.63341,67803.0,0.0,256.0,0.0015792,1.0,4.0,186500.0,0.49684,1.0,0.625,67803.0,-8.9407e-08,1.0,0.0,0.058594,0.0016,2.0,1.0,1.0,0.71253,2.0,264.86,0.0,0.0,2.0,72.0,178.96,67803.0,70.0,384.0,347.0,-0.21485,71.0,0.66625,127.0,0.0,26.001,0.14257,5.0,-4.8181,43.5,3.4291,443.82,0.0,6.5,0.084876,730.0,0.0,-16.677,0.00031884,216.0,0.0,-7.4062,0.00010273,-1.0133,0.0,-38.75,4.2784e-05,0.9625,0.2509,0.0,0.0037516,-9.3849,2.6315,1.0,-3.6007e-09,0.00027421,5.0678e-15,0.0,2.3932,4.7847,0.64623,,-3.4264,-3.9727,1.0
73,0.0015401,104.0,0.0,1.0,0.49766,350.85,0.0,1.0,256.0,726.0,0.0,3e-06,-2.0901,220.0,-0.001715,123710.0,-13.724,0.25,0.73917,74864.0,0.0,-4.7296e-05,-0.91065,-0.21939,-1.7346,1.7629,0.9999,0.0,-13.924,-2.4707,2.0942,-4.7877,0.95312,152.0,0.40226,-0.21768,35.844,573.83,0.0,0.0,1.0,879.0,0.0,-4.5049,546.0,238.0,0.0,0.0,479.44,0.0,0.0,74864.0,217.0,0.0,0.001715,1.0,879.0,0.0,0.91065,18652.0,1.9688,0.0,-0.73917,74864.0,0.0,256.0,0.0016158,1.0,4.0,206340.0,0.35503,1.0,0.50781,74864.0,-8.7544e-08,1.0,0.0,0.058594,0.0016254,2.0,1.0,1.0,0.41464,2.0,292.44,0.0,0.0,2.0,90.0,190.8,74864.0,71.0,384.0,495.0,-0.21939,72.0,0.7257,130.0,0.0,26.073,0.14648,5.0,-4.7877,43.75,3.689,483.24,0.0,6.5,0.092087,879.0,0.0,-16.724,0.0003248,220.0,0.0,-7.0938,0.00011756,-1.7346,0.0,-38.75,4.4968e-05,0.95312,0.25488,0.0,0.0038958,-13.924,2.5356,1.0,1.9567e-08,0.0001167,3.5622e-15,0.0,2.4403,5.6869,0.66278,,-3.3603,-3.2064,1.0
74,0.0014423,87.0,0.0,1.0,0.50828,365.3,0.0,1.0,256.0,545.0,0.0,3e-06,-3.1491,229.0,-0.0018201,124340.0,-17.709,0.25,0.73797,75795.0,0.0,-5.3248e-05,-1.2885,-0.20678,-2.8072,1.5913,0.99967,0.0,-16.848,-2.4749,2.0917,-4.9712,0.95937,169.0,0.27567,-0.20496,8.2188,547.67,0.0,0.0,1.0,744.0,0.0,-4.9681,120.0,234.0,0.0,0.0,481.11,0.0,0.0,75795.0,216.0,0.0,0.0018201,1.0,744.0,-0.0,1.2885,18885.0,2.0156,0.0,-0.73797,75795.0,0.0,256.0,0.0014937,1.0,4.0,188800.0,0.56422,1.0,0.49609,75795.0,-8.916e-08,1.0,0.0,0.0625,0.0015108,2.0,1.0,1.0,0.83018,2.0,296.07,0.0,0.0,2.0,78.0,189.62,75795.0,72.0,384.0,360.0,-0.20678,73.0,0.69886,136.0,0.0,26.391,0.13526,5.0,-4.9712,45.5,3.765,485.69,0.0,6.4688,0.089071,744.0,0.0,-17.073,0.00029619,229.0,0.0,-7.3438,7.981e-05,-2.8072,0.0,-38.5,4.3867e-05,0.95937,0.23865,0.0,0.0036908,-16.848,2.7862,1.0,-1.8118e-08,-0.00011482,1.261e-15,0.0,2.3006,5.477,0.61574,,-3.5034,-3.3768,1.0
75,0.0015902,78.0,0.0,1.0,0.51138,331.65,0.0,1.0,256.0,555.0,0.0,3e-06,-1.9925,189.0,-0.0019408,129680.0,-11.296,0.25,0.6987,77333.0,0.0,-0.00020127,-0.99138,-0.23829,-1.7553,1.7917,0.99966,0.0,-11.496,-2.4633,2.0111,-4.8947,0.96759,178.0,0.37107,-0.23635,17.719,583.19,0.0,0.0,2.0,878.0,0.0,-4.7568,412.0,257.0,0.0,0.0,502.3,0.0,0.0,77333.0,186.0,0.0,0.0019408,1.0,878.0,-0.0,0.99138,19269.0,2.4219,0.0,-0.6987,77333.0,0.0,256.0,0.0015972,1.0,4.0,217730.0,0.36244,1.0,0.39453,77333.0,-8.7661e-08,1.0,0.0,0.0625,0.0016136,2.0,1.0,1.0,0.49141,2.0,302.08,0.0,0.0,2.0,62.0,204.47,77333.0,73.0,384.0,494.0,-0.23829,74.0,0.73487,127.0,0.0,25.92,0.14912,5.0,-4.8947,45.5,3.903,506.55,0.0,6.5312,0.086339,878.0,0.0,-16.763,0.00029389,189.0,0.0,-7.375,9.328e-05,-1.7553,0.0,-38.75,6.4237e-05,0.96759,0.27527,0.0,0.0033786,-11.496,2.7469,1.0,-1.4207e-08,9.8025e-05,2.9611e-15,0.0,2.3493,4.7804,0.63943,,-2.9992,-3.9347,1.0
