step,timeperf/load_bcast,sft-eval/n_valid_tokens,sft/grad_norm,sft/prompt_tokens,timeperf/train_step,sft-eval/ppl/avg,sft/loss/avg,sft/update_successful,timeperf/save,sft-eval/ppl/max,sft/loss/max,sft/vocab_max_logits/avg,timeperf/checkpoint_for_recover,sft-eval/ppl/min,sft/loss/min,sft/vocab_max_logits/max,timeperf/eval,sft-eval/prompt_tokens,sft/lr,sft/vocab_max_logits/min,timeperf/clear_batches,sft-eval/vocab_max_logits/avg,sft/n_seqs,sft/vocab_min_logits/avg,sft-eval/loss/avg,sft-eval/vocab_max_logits/max,sft/n_tokens,sft/vocab_min_logits/max,sft-eval/loss/max,sft-eval/vocab_max_logits/min,sft/n_valid_tokens,sft/vocab_min_logits/min,sft-eval/loss/min,sft-eval/vocab_min_logits/avg,sft/ppl/avg,sft-eval/n_seqs,sft-eval/vocab_min_logits/max,sft/ppl/max,sft-eval/n_tokens,sft-eval/vocab_min_logits/min,sft/ppl/min
80,0.010652,,2.8647,4776.0,0.11385,,0.4127,1.0,0.000114,,11.705,21.672,4.9675e-05,,-0.0,38.25,3.6635e-05,,5.9964e-06,6.3438,0.00022025,,32.0,-12.954,,,11417.0,-6.3438,,,6641.0,-36.0,,,1.5072,,,2.5898,,,1.1336
81,0.0078985,,2.7427,4796.0,0.11197,,0.41314,1.0,0.00018077,,12.446,21.507,5.1708e-05,,-0.0,39.25,3.6595e-05,,5.9961e-06,6.3438,0.00021831,,32.0,-12.905,,,11043.0,-6.0625,,,6247.0,-36.25,,,1.4928,,,2.1105,,,1.1706
82,0.0069557,,2.7521,5625.0,0.11723,,0.38362,1.0,0.00011738,,13.577,21.607,6.006e-05,,-0.0,37.25,3.5343e-05,,5.9959e-06,6.3125,0.00021478,,32.0,-12.911,,,12169.0,-6.4375,,,6544.0,-35.5,,,1.4829,,,2.9082,,,1.1321
83,0.0063203,,2.4923,5224.0,0.12222,,0.4048,1.0,0.00021068,,13.132,21.992,6.2645e-05,,-0.0,41.25,4.4157e-05,,5.9956e-06,6.4062,0.00025529,,32.0,-13.029,,,13287.0,-6.4062,,,8063.0,-35.5,,,1.5399,,,3.0706,,,1.063
84,0.0073343,,2.6487,4701.0,0.11074,,0.37212,1.0,0.00016339,,14.538,21.606,4.9895e-05,,-0.0,38.5,3.3871e-05,,5.9952e-06,6.3438,0.00021912,,32.0,-12.96,,,10920.0,-6.3438,,,6219.0,-35.5,,,1.4677,,,2.2972,,,1.1592
85,0.0064339,,2.2133,4717.0,0.11189,,0.28769,1.0,0.00014315,,11.816,22.049,4.4167e-05,,-0.0,39.75,3.9129e-05,,5.9949e-06,6.3438,0.00028403,,32.0,-13.314,,,11813.0,-6.5312,,,7096.0,-35.25,,,1.3811,,,1.7717,,,1.1318
86,0.0069311,,2.6758,5020.0,0.11638,,0.36717,1.0,0.00012506,,15.448,21.816,5.3301e-05,,-0.0,37.0,3.6555e-05,,5.9946e-06,6.3125,0.00022113,,32.0,-13.114,,,11665.0,-6.5625,,,6645.0,-35.0,,,1.4671,,,3.2383,,,1.141
87,0.0065137,,2.3929,4484.0,0.11869,,0.38756,1.0,9.7527e-05,,25.413,22.083,4.8113e-05,,-0.0,39.5,3.4582e-05,,5.9942e-06,6.3125,0.00021493,,32.0,-13.103,,,12623.0,-6.5625,,,8139.0,-35.0,,,2.1425,,,24.317,,,1.1472
88,0.0066268,,2.3952,4654.0,0.11282,,0.33826,1.0,0.00012633,,10.902,21.998,4.6159e-05,,-0.0,41.0,2.8623e-05,,5.9939e-06,6.3125,0.00020964,,32.0,-12.973,,,11948.0,-6.6562,,,7294.0,-35.0,,,1.4438,,,2.0506,,,1.1651
89,0.0064503,,2.8541,4787.0,0.11134,,0.38656,1.0,0.0001302,,13.301,21.645,4.3877e-05,,-0.0,39.25,3.7727e-05,,5.9935e-06,6.3125,0.00024521,,32.0,-13.015,,,11157.0,-6.6875,,,6370.0,-35.0,,,1.4906,,,2.1888,,,1.1557
90,0.24086,,2.3693,4483.0,0.12,,0.29335,1.0,0.00077861,,12.491,21.775,0.00021887,,-0.0,39.75,0.00011394,,5.9932e-06,6.3125,0.00027126,,32.0,-13.064,,,10846.0,-6.7188,,,6363.0,-35.0,,,1.3886,,,2.5715,,,1.1417
91,0.007359,,2.2334,4468.0,0.11377,,0.3254,1.0,0.00030971,,11.597,21.863,7.1528e-05,,-0.0,41.25,4.644e-05,,5.9928e-06,6.3125,0.00031283,,32.0,-13.128,,,11550.0,-5.9688,,,7082.0,-34.5,,,1.388,,,2.0122,,,1.0732
92,0.001222,,2.6157,5167.0,0.11388,,0.3616,1.0,0.0001451,,14.442,21.558,5.4883e-05,,-0.0,38.25,3.2739e-05,,5.9924e-06,6.3125,0.00023777,,32.0,-12.99,,,10738.0,-6.75,,,5571.0,-34.75,,,1.4149,,,2.3983,,,1.1261
93,0.0012209,,2.782,4848.0,0.11001,,0.3456,1.0,0.00011722,,10.908,21.759,5.971e-05,,-0.0,39.25,3.0296e-05,,5.992e-06,6.3125,0.00022482,,32.0,-13.038,,,10787.0,-5.9688,,,5939.0,-34.75,,,1.4197,,,2.2153,,,1.1586
94,0.024516,,2.4672,5227.0,0.12038,,0.36205,1.0,0.00011909,,11.306,22.033,4.7311e-05,,-0.0,38.5,2.9454e-05,,5.9916e-06,6.3125,0.00021344,,32.0,-13.425,,,12698.0,-6.1875,,,7471.0,-35.0,,,1.4196,,,1.9053,,,1.0634
95,0.00092377,,2.2621,4700.0,0.12324,,0.34843,1.0,0.0002852,,11.368,22.419,5.948e-05,,-0.0,40.0,3.8017e-05,,5.9911e-06,6.3125,0.00026997,,32.0,-13.506,,,13335.0,-6.5,,,8635.0,-34.75,,,1.3954,,,2.0685,,,1.1199
96,0.0010734,,2.5449,4655.0,0.11686,,0.36629,1.0,0.00012973,,12.503,22.322,7.285e-05,,-0.0,40.5,3.7056e-05,,5.9907e-06,6.3125,0.00023649,,32.0,-13.5,,,12329.0,-6.75,,,7674.0,-35.0,,,1.4142,,,2.1484,,,1.1466
97,0.0010604,,2.7331,4746.0,0.10708,,0.31752,1.0,0.00010474,,13.641,22.028,4.9985e-05,,-0.0,39.75,3.278e-05,,5.9902e-06,6.2812,0.00021907,,32.0,-13.29,,,10099.0,-6.8125,,,5353.0,-35.0,,,1.3596,,,1.9103,,,1.1258
98,0.007816,,2.3537,5142.0,0.12501,,0.34808,1.0,0.00019411,,12.332,22.457,7.8158e-05,,-0.0,40.75,4.2755e-05,,5.9898e-06,6.3125,0.00023409,,32.0,-13.627,,,13330.0,-6.4688,,,8188.0,-35.5,,,1.381,,,1.8434,,,1.1405
99,0.0070414,,2.2674,5310.0,0.11645,,0.29698,1.0,9.4272e-05,,13.724,22.386,4.9875e-05,,-0.0,37.5,3.3851e-05,,5.9893e-06,6.3125,0.00021912,,32.0,-13.572,,,12350.0,-6.7188,,,7040.0,-35.25,,,1.3564,,,2.2704,,,1.0891
100,0.0069798,28481.0,2.4264,5336.0,0.11667,1.517,0.34935,1.0,5.3069,3.0919,13.53,22.422,0.00020965,1.0758,-0.0,38.75,0.46944,17967.0,5.9888e-06,6.2812,0.00034645,22.568,32.0,-13.748,0.40027,40.25,12619.0,-6.5,17.626,6.3125,7283.0,-35.5,-0.0,-13.744,1.4169,126.0,-6.75,1.9691,46448.0,-35.5,1.1402
101,0.0087057,,2.4501,4560.0,0.11506,,0.25054,1.0,0.00054774,,14.057,22.832,0.00026893,,-0.0,38.75,9.946e-05,,5.9883e-06,6.3125,0.00031142,,32.0,-13.998,,,10564.0,-6.8438,,,6004.0,-35.0,,,1.3282,,,1.6832,,,1.1106
102,0.0068711,,2.4625,4883.0,0.11378,,0.29125,1.0,0.00012867,,12.724,22.843,4.5479e-05,,-0.0,38.25,2.7722e-05,,5.9878e-06,6.2812,0.00021749,,32.0,-14.082,,,11856.0,-6.7188,,,6973.0,-35.5,,,1.3606,,,1.9489,,,1.0515
103,0.0067829,,2.5305,4926.0,0.15996,,0.58978,1.0,0.00011408,,15.509,22.388,4.5218e-05,,-0.0,41.0,2.5088e-05,,5.9873e-06,6.3438,0.00020717,,32.0,-13.698,,,16392.0,-6.75,,,11466.0,-35.5,,,1.5142,,,2.8501,,,1.0746
104,0.0066709,,2.6441,4676.0,0.10913,,0.25209,1.0,0.00012446,,13.143,22.609,4.6781e-05,,-0.0,38.75,2.3866e-05,,5.9868e-06,6.3438,0.0002081,,32.0,-13.675,,,10537.0,-6.5625,,,5861.0,-35.25,,,1.3016,,,1.6055,,,1.0816
105,0.0066263,,2.4762,4355.0,0.10905,,0.27961,1.0,0.00010183,,11.065,22.768,4.5378e-05,,-0.0,38.75,2.3094e-05,,5.9863e-06,6.3438,0.00021387,,32.0,-13.957,,,10812.0,-6.7188,,,6457.0,-35.25,,,1.3149,,,1.8958,,,1.098
106,0.0067908,,2.665,5311.0,0.12011,,0.36366,1.0,0.00013172,,18.98,22.777,4.3366e-05,,-0.0,39.75,2.4016e-05,,5.9857e-06,6.2812,0.00020647,,32.0,-13.896,,,13781.0,-6.4688,,,8470.0,-35.25,,,1.4446,,,2.1494,,,1.1363
107,0.006458,,2.4434,4759.0,0.12755,,0.33067,1.0,0.00011074,,11.988,23.017,4.2364e-05,,-0.0,40.0,2.4246e-05,,5.9852e-06,6.3438,0.00020522,,32.0,-13.996,,,13580.0,-6.6562,,,8821.0,-36.0,,,1.3888,,,2.208,,,1.0443
108,0.0065341,,2.7115,5125.0,0.11637,,0.34492,1.0,0.00010205,,12.831,22.672,4.2124e-05,,-0.0,39.25,2.3235e-05,,5.9846e-06,6.25,0.00020319,,32.0,-13.998,,,11936.0,-6.6875,,,6811.0,-35.25,,,1.392,,,2.0864,,,1.0685
109,0.0067068,,2.4319,4875.0,0.11821,,0.2968,1.0,0.00030049,,10.193,22.991,7.4632e-05,,-0.0,38.5,4.5419e-05,,5.984e-06,6.25,0.00033537,,32.0,-14.054,,,12124.0,-6.6562,,,7249.0,-35.25,,,1.3468,,,1.8064,,,1.0772
110,0.0073121,,2.7766,5354.0,0.11764,,0.35112,1.0,0.00021444,,13.439,22.643,5.4292e-05,,-0.0,38.0,3.9079e-05,,5.9834e-06,6.25,0.00023572,,32.0,-13.83,,,12732.0,-6.6562,,,7378.0,-35.5,,,1.4237,,,2.2598,,,1.1054
111,0.0068776,,2.7367,5127.0,0.12331,,0.47348,1.0,0.00021783,,21.896,22.4,6.4067e-05,,-0.0,39.25,4.4377e-05,,5.9829e-06,6.3125,0.00028045,,32.0,-13.806,,,12853.0,-6.625,,,7726.0,-35.75,,,1.4603,,,2.7311,,,1.1268
112,0.0073338,,2.7099,5078.0,0.1124,,0.31375,1.0,0.00017935,,11.938,22.624,5.6185e-05,,-0.0,40.0,4.0742e-05,,5.9822e-06,6.3125,0.00028119,,32.0,-14.053,,,11143.0,-6.5,,,6065.0,-35.75,,,1.3886,,,2.0915,,,1.1073
113,0.007655,,2.5016,5524.0,0.12299,,0.34196,1.0,0.00015575,,15.065,22.737,6.6861e-05,,-0.0,37.5,3.3801e-05,,5.9816e-06,6.2812,0.00022564,,32.0,-13.936,,,13508.0,-6.375,,,7984.0,-37.5,,,1.432,,,2.691,,,1.1023
114,0.0070368,,2.5716,5716.0,0.117,,0.32861,1.0,0.00010337,,15.043,22.599,5.3921e-05,,-0.0,39.25,3.2388e-05,,5.981e-06,6.3125,0.00020981,,32.0,-13.764,,,12303.0,-6.4062,,,6587.0,-36.0,,,1.4347,,,2.2248,,,1.0855
115,0.0066568,,2.7642,4995.0,0.10927,,0.34069,1.0,0.00010721,,12.9,22.191,5.282e-05,,-0.0,40.5,3.2209e-05,,5.9804e-06,6.25,0.00021161,,32.0,-13.628,,,10910.0,-6.4062,,,5915.0,-36.25,,,1.4101,,,2.1702,,,1.0822
116,0.0098493,,3.0226,5048.0,0.11168,,0.3736,1.0,0.00010495,,14.034,22.108,4.593e-05,,-0.0,39.25,3.1307e-05,,5.9797e-06,6.3125,0.00021657,,32.0,-13.695,,,11076.0,-6.4062,,,6028.0,-36.25,,,1.4512,,,3.1721,,,1.1116
117,0.011246,,2.6489,4264.0,0.10486,,0.26894,1.0,0.00010846,,10.124,22.367,4.5909e-05,,-0.0,39.75,3.0436e-05,,5.9791e-06,6.3125,0.00021247,,32.0,-13.784,,,9478.0,-6.375,,,5214.0,-36.5,,,1.3473,,,2.1629,,,1.056
118,0.0065445,,2.6358,5181.0,0.11949,,0.3281,1.0,9.8559e-05,,15.029,22.757,4.4567e-05,,-0.0,38.0,2.8874e-05,,5.9784e-06,6.2188,0.00021142,,32.0,-14.007,,,13422.0,-6.375,,,8241.0,-36.5,,,1.3905,,,2.0393,,,1.078
119,0.0065235,,2.4978,5210.0,0.11714,,0.2975,1.0,0.00010969,,11.674,22.573,4.7752e-05,,-0.0,41.25,3.1958e-05,,5.9777e-06,6.25,0.00020605,,32.0,-13.979,,,12773.0,-6.3438,,,7563.0,-36.5,,,1.3563,,,3.0878,,,1.1259
120,0.0097418,,2.5361,4691.0,0.1129,,0.29347,1.0,9.6786e-05,,13.618,22.655,5.5113e-05,,-0.0,40.5,3.1687e-05,,5.977e-06,6.25,0.00020594,,32.0,-13.877,,,11866.0,-6.3125,,,7175.0,-36.5,,,1.332,,,1.6104,,,1.1249
121,0.01132,,2.8975,5573.0,0.11187,,0.33845,1.0,0.0001002,,13.815,22.044,4.4697e-05,,-0.0,39.5,2.8904e-05,,5.9763e-06,6.25,0.00020994,,32.0,-13.586,,,11320.0,-6.2188,,,5747.0,-36.5,,,1.3662,,,1.7238,,,1.0662
122,0.0076502,,3.0214,4787.0,0.11743,,0.33988,1.0,0.0003191,,10.523,22.368,7.7427e-05,,-0.0,39.5,3.7697e-05,,5.9756e-06,6.25,0.00026747,,32.0,-13.796,,,11065.0,-6.5,,,6278.0,-37.0,,,1.3581,,,1.8069,,,1.1011
123,0.010482,,2.6478,4774.0,0.11626,,0.3376,1.0,0.00011522,,10.713,22.594,6.2014e-05,,-0.0,38.75,3.318e-05,,5.9749e-06,6.2188,0.00021104,,32.0,-13.757,,,11879.0,-6.4375,,,7105.0,-36.5,,,1.4054,,,2.7655,,,1.0425
124,0.01038,,2.8001,4881.0,0.1131,,0.33457,1.0,0.0001007,,13.751,22.572,5.2469e-05,,-0.0,40.25,3.1448e-05,,5.9742e-06,6.2812,0.0002064,,32.0,-13.722,,,12061.0,-6.5312,,,7180.0,-36.75,,,1.3736,,,1.8286,,,1.0786
125,0.01161,,2.8103,4415.0,0.11161,,0.31967,1.0,0.00026402,,11.411,22.714,7.931e-05,,-0.0,38.25,4.4487e-05,,5.9734e-06,6.25,0.00027101,,32.0,-14.007,,,10851.0,-6.5312,,,6436.0,-36.5,,,1.3529,,,2.1316,,,1.1175
126,0.0069585,,2.7662,4796.0,0.11391,,0.31635,1.0,0.00011243,,12.625,22.774,5.1728e-05,,-0.0,40.25,3.3982e-05,,5.9727e-06,6.25,0.00023017,,32.0,-14.059,,,11738.0,-6.5,,,6942.0,-36.5,,,1.4002,,,2.2218,,,1.1051
127,0.0066729,,2.4163,4614.0,0.12004,,0.31935,1.0,0.00026487,,15.22,22.883,6.4527e-05,,-0.0,39.75,4.605e-05,,5.9719e-06,6.2188,0.00031908,,32.0,-14.072,,,12843.0,-6.625,,,8229.0,-36.5,,,1.3794,,,2.2607,,,1.102
128,0.012525,,2.907,4609.0,0.11191,,0.31707,1.0,0.0002608,,13.131,22.347,6.3095e-05,,-0.0,42.5,4.5178e-05,,5.9711e-06,6.2188,0.00027312,,32.0,-13.812,,,10227.0,-6.4062,,,5618.0,-36.5,,,1.4245,,,3.1447,,,1.0978
129,0.010716,,2.6947,4705.0,0.11704,,0.33122,1.0,0.00027357,,10.486,22.59,6.5849e-05,,-0.0,39.75,4.3836e-05,,5.9703e-06,6.0625,0.00031214,,32.0,-13.902,,,10914.0,-6.5,,,6209.0,-37.0,,,1.4089,,,3.0355,,,1.1156
130,0.012439,,2.287,4721.0,0.12251,,0.23588,1.0,0.00024249,,9.3113,23.336,6.5468e-05,,-0.0,39.25,4.5008e-05,,5.9695e-06,6.3125,0.00024178,,32.0,-14.559,,,12581.0,-6.4688,,,7860.0,-36.75,,,1.2894,,,1.7136,,,1.0758
131,0.012285,,2.7963,4889.0,0.11633,,0.28367,1.0,0.00014266,,12.035,22.77,5.1798e-05,,-0.0,39.75,4.1553e-05,,5.9687e-06,6.2188,0.00025363,,32.0,-14.018,,,11693.0,-6.5625,,,6804.0,-36.75,,,1.3134,,,1.8743,,,1.0899
132,0.010778,,2.5202,5428.0,0.12151,,0.27834,1.0,0.0002674,,11.958,22.963,6.7031e-05,,-0.0,40.25,4.5729e-05,,5.9679e-06,6.25,0.00033193,,32.0,-14.137,,,12950.0,-6.5625,,,7522.0,-36.5,,,1.3444,,,2.3783,,,1.1317
133,0.010782,,2.6051,5262.0,0.12119,,0.36772,1.0,0.00012316,,11.026,22.568,4.5969e-05,,-0.0,39.25,3.4131e-05,,5.9671e-06,6.0625,0.00025129,,32.0,-13.744,,,13126.0,-6.5312,,,7864.0,-36.5,,,1.423,,,2.2565,,,1.0696
134,0.0075711,,3.0551,4717.0,0.11122,,0.2991,1.0,0.00026113,,11.46,22.307,6.665e-05,,-0.0,40.25,4.3926e-05,,5.9663e-06,6.0625,0.00027595,,32.0,-13.738,,,10015.0,-6.625,,,5298.0,-36.75,,,1.3664,,,1.9203,,,1.0239
135,0.011946,,2.6334,5107.0,0.11759,,0.31311,1.0,0.00013666,,11.376,22.928,7.3961e-05,,-0.0,39.75,3.6435e-05,,5.9654e-06,6.0938,0.00022991,,32.0,-14.041,,,12711.0,-6.5,,,7604.0,-37.0,,,1.3472,,,1.8894,,,1.0761
136,0.012422,,3.1628,4672.0,0.11099,,0.27541,1.0,0.00030508,,17.103,22.675,0.00010536,,-0.0,39.5,5.3621e-05,,5.9645e-06,6.0938,0.00027307,,32.0,-14.0,,,10596.0,-6.5,,,5924.0,-37.0,,,1.3365,,,1.7848,,,1.0565
137,0.0078219,,2.4399,4755.0,0.11538,,0.32821,1.0,0.00017922,,16.251,22.58,7.1959e-05,,-0.0,40.0,3.6965e-05,,5.9637e-06,6.0625,0.00026222,,32.0,-13.89,,,12111.0,-6.5938,,,7356.0,-36.75,,,1.3862,,,1.8789,,,1.0263
138,0.0072605,,2.5187,4746.0,0.11637,,0.30262,1.0,0.00010674,,10.225,22.782,4.9204e-05,,-0.0,38.0,3.332e-05,,5.9628e-06,6.1562,0.00021306,,32.0,-13.975,,,12006.0,-6.6562,,,7260.0,-36.75,,,1.3688,,,2.2156,,,1.1652
139,0.0064443,,2.9478,4803.0,0.11697,,0.36406,1.0,0.0003155,,12.884,22.796,8.7031e-05,,-0.0,40.75,6.5008e-05,,5.9619e-06,6.0625,0.000413,,32.0,-14.002,,,12192.0,-6.6562,,,7389.0,-37.0,,,1.4812,,,2.5205,,,1.0798
140,0.0070658,,2.4445,5180.0,0.11863,,0.30294,1.0,0.00024113,,14.528,22.915,6.7531e-05,,-0.0,39.25,4.2644e-05,,5.961e-06,6.0625,0.00025593,,32.0,-13.995,,,13142.0,-6.4375,,,7962.0,-37.0,,,1.3633,,,1.8661,,,1.1154
141,0.0075419,,2.4431,5078.0,0.12036,,0.28772,1.0,0.000155,,11.25,23.016,6.6561e-05,,-0.0,41.0,4.005e-05,,5.9601e-06,6.0625,0.00022613,,32.0,-14.301,,,12846.0,-6.6875,,,7768.0,-36.75,,,1.3359,,,1.6431,,,1.1002
142,0.012038,,2.8296,4693.0,0.11243,,0.37581,1.0,0.00015585,,10.135,22.441,6.9535e-05,,-0.0,40.25,3.7326e-05,,5.9592e-06,6.1875,0.00025374,,32.0,-13.733,,,11391.0,-6.6875,,,6698.0,-37.0,,,1.4298,,,2.5335,,,1.1157
143,0.0072054,,2.9214,4912.0,0.11367,,0.32715,1.0,0.00022866,,26.426,22.851,0.00010331,,-0.0,41.25,5.2349e-05,,5.9583e-06,6.0625,0.00039977,,32.0,-14.129,,,11567.0,-6.6562,,,6655.0,-36.75,,,1.4226,,,3.1349,,,1.0792
144,0.0069915,,2.7381,5675.0,0.11696,,0.34294,1.0,0.0001208,,12.487,22.743,4.8894e-05,,-0.0,43.75,3.8248e-05,,5.9573e-06,6.1875,0.00021627,,32.0,-13.75,,,13100.0,-6.7188,,,7425.0,-36.75,,,1.4059,,,2.1075,,,1.0837
145,0.011628,,2.4598,5036.0,0.12206,,0.33872,1.0,0.00010667,,11.407,23.264,4.6039e-05,,-0.0,38.5,3.5073e-05,,5.9564e-06,6.1875,0.0022886,,32.0,-14.227,,,14243.0,-6.7188,,,9207.0,-36.75,,,1.3949,,,2.5389,,,1.0708
146,0.010355,,2.7876,4416.0,0.10925,,0.34682,1.0,0.00017103,,12.0,22.599,4.8133e-05,,-0.0,39.0,3.9179e-05,,5.9554e-06,6.1562,0.0002412,,32.0,-13.918,,,10752.0,-6.5938,,,6336.0,-36.75,,,1.4258,,,2.1694,,,1.1048
147,0.0069691,,3.1105,5140.0,0.11028,,0.33051,1.0,9.974e-05,,11.481,22.259,4.4277e-05,,-0.0,40.75,0.00014159,,5.9544e-06,6.125,0.00046035,,32.0,-13.775,,,10461.0,-6.4062,,,5321.0,-37.0,,,1.3757,,,2.115,,,1.0797
148,0.012701,,2.6935,5135.0,0.11496,,0.31987,1.0,0.00019645,,12.594,22.292,5.5744e-05,,-0.0,37.5,3.8397e-05,,5.9534e-06,6.125,0.00025884,,32.0,-13.557,,,11517.0,-6.2188,,,6382.0,-36.75,,,1.3826,,,2.4448,,,1.0863
149,0.012346,,2.2908,5081.0,0.11871,,0.29397,1.0,0.00022417,,11.179,22.837,6.1523e-05,,-0.0,40.0,3.1838e-05,,5.9524e-06,6.125,0.00025735,,32.0,-13.916,,,12931.0,-6.3125,,,7850.0,-36.75,,,1.3735,,,2.0877,,,1.0886
150,0.012513,28481.0,2.6506,4735.0,0.11833,1.5088,0.38165,1.0,5.4872,3.057,18.063,22.446,0.00018496,1.0791,-0.0,40.25,0.4875,17967.0,5.9514e-06,6.125,0.00052842,22.577,32.0,-13.715,0.39601,39.75,12287.0,-6.6562,17.064,6.125,7552.0,-37.0,-0.0,-13.745,1.4526,126.0,-6.5625,2.574,46448.0,-37.0,1.1189
151,0.011201,,2.5721,4593.0,0.11635,,0.29077,1.0,0.00047715,,16.532,22.512,0.00016911,,-0.0,38.75,9.961e-05,,5.9504e-06,6.125,0.00030698,,32.0,-13.781,,,10960.0,-6.5312,,,6367.0,-36.75,,,1.3304,,,2.1639,,,1.0763
152,0.011215,,2.3301,4918.0,0.12048,,0.26127,1.0,0.0002336,,9.9735,22.752,7.8618e-05,,-0.0,38.5,4.3385e-05,,5.9494e-06,6.1562,0.00025928,,32.0,-13.715,,,11880.0,-6.6562,,,6962.0,-36.75,,,1.31,,,2.2075,,,1.0867
153,0.0072982,,2.9777,4760.0,0.11432,,0.34806,1.0,0.00029769,,14.661,22.312,7.6435e-05,,-0.0,39.0,4.3516e-05,,5.9484e-06,6.125,0.00032045,,32.0,-13.556,,,10837.0,-6.5938,,,6077.0,-36.25,,,1.4361,,,2.2366,,,1.1449
154,0.0081954,,2.657,4712.0,0.11701,,0.29506,1.0,0.00021056,,12.142,22.87,6.4467e-05,,-0.0,40.0,4.1102e-05,,5.9473e-06,6.125,0.00028145,,32.0,-13.967,,,11987.0,-6.5938,,,7275.0,-36.5,,,1.318,,,1.8197,,,1.093
155,0.013341,,2.5587,4664.0,0.11375,,0.31475,1.0,0.00017369,,25.603,22.695,6.4367e-05,,-0.0,43.25,4.0531e-05,,5.9463e-06,6.1562,0.00023823,,32.0,-13.966,,,11276.0,-6.4688,,,6612.0,-36.25,,,1.7157,,,12.28,,,1.0758
156,0.010804,,2.562,4885.0,0.11877,,0.3429,1.0,0.00023774,,12.852,22.521,8.2144e-05,,-0.0,40.0,3.4452e-05,,5.9452e-06,6.125,0.00024901,,32.0,-13.62,,,12384.0,-6.625,,,7499.0,-36.5,,,1.3771,,,2.1003,,,1.0868
157,0.0069915,,2.5699,5116.0,0.11742,,0.35635,1.0,0.00014448,,9.922,22.727,5.2159e-05,,-0.0,38.5,3.1117e-05,,5.9441e-06,6.1562,0.00022061,,32.0,-13.97,,,12616.0,-6.625,,,7500.0,-36.75,,,1.3991,,,2.3528,,,1.0738
158,0.0066443,,2.7306,4664.0,0.10975,,0.30307,1.0,0.00026012,,12.194,22.603,5.6556e-05,,-0.0,39.5,3.958e-05,,5.943e-06,6.1562,0.00024596,,32.0,-13.888,,,10783.0,-6.6562,,,6119.0,-36.5,,,1.3694,,,2.3875,,,1.1509
159,0.0066907,,2.5206,4949.0,0.11726,,0.32334,1.0,0.00013204,,12.506,22.851,4.8023e-05,,-0.0,41.0,3.0305e-05,,5.9419e-06,6.125,0.00022077,,32.0,-13.937,,,12561.0,-6.625,,,7612.0,-36.25,,,1.3768,,,2.8444,,,1.0596
160,0.0074563,,2.9212,4991.0,0.11791,,0.39773,1.0,0.00013167,,20.817,22.425,5.1808e-05,,-0.0,38.0,3.7517e-05,,5.9408e-06,6.1562,0.00021829,,32.0,-13.748,,,12375.0,-6.0,,,7384.0,-36.5,,,1.4549,,,2.2392,,,1.0638
161,0.0070039,,2.6848,4629.0,0.11617,,0.34566,1.0,0.00010007,,13.758,22.801,4.7101e-05,,-0.0,40.75,3.3621e-05,,5.9397e-06,6.125,0.00021857,,32.0,-13.903,,,12727.0,-6.6562,,,8098.0,-36.5,,,1.3913,,,2.3649,,,1.1215
162,0.0064756,,2.4576,5189.0,0.11633,,0.25655,1.0,0.00030416,,10.579,22.802,6.3956e-05,,-0.0,38.25,4.1453e-05,,5.9386e-06,6.125,0.00027553,,32.0,-13.993,,,11607.0,-6.2188,,,6418.0,-36.25,,,1.3156,,,1.8327,,,1.1355
163,0.0077852,,2.4322,4864.0,0.11489,,0.281,1.0,0.00024871,,12.665,22.959,6.5479e-05,,-0.0,38.5,4.1973e-05,,5.9375e-06,6.1562,0.00026468,,32.0,-14.125,,,11986.0,-6.75,,,7122.0,-36.75,,,1.3299,,,2.1448,,,1.0894
164,0.0077713,,2.8382,4725.0,0.11168,,0.31086,1.0,0.0001525,,13.294,22.628,6.3406e-05,,-0.0,38.0,3.931e-05,,5.9363e-06,6.125,0.00022269,,32.0,-13.951,,,11217.0,-6.125,,,6492.0,-36.25,,,1.3488,,,1.6663,,,1.1111
165,0.0069407,,2.884,5000.0,0.14924,,0.40933,1.0,0.00016308,,11.814,22.746,6.5218e-05,,-0.0,40.5,3.9289e-05,,5.9351e-06,6.125,0.00025679,,32.0,-13.529,,,13902.0,-6.625,,,8902.0,-36.25,,,1.3887,,,2.3791,,,1.0691
166,0.0073844,,2.7776,4606.0,0.11727,,0.33446,1.0,0.00013319,,11.819,22.687,4.9033e-05,,-0.0,40.0,3.0225e-05,,5.934e-06,6.1562,0.00021338,,32.0,-13.923,,,11565.0,-6.6562,,,6959.0,-36.25,,,1.3844,,,2.8538,,,1.0969
167,0.0067266,,2.8873,5046.0,0.11419,,0.34703,1.0,0.00013483,,11.136,22.516,4.7481e-05,,-0.0,40.25,3.6795e-05,,5.9328e-06,6.125,0.00023174,,32.0,-13.923,,,11927.0,-6.625,,,6881.0,-36.25,,,1.4017,,,2.217,,,1.1058
168,0.0071447,,3.095,5390.0,0.11461,,0.3802,1.0,0.00019864,,19.806,22.229,6.1753e-05,,-0.0,38.5,3.949e-05,,5.9316e-06,6.2188,0.00028164,,32.0,-13.631,,,11677.0,-6.6562,,,6287.0,-36.25,,,1.4346,,,2.6209,,,1.0836
